,cor_name,cor_rate,obligation
0,신영스팩8호,,0.00%
1,IBKS스팩19호,,0.00%
2,대성하이텍,1934.89:1,4.57%
3,쏘카,56.07:1,0.17%
4,에이치와이티씨,1480.78:1,6.08%
5,새빗켐,1670.90:1,37.70%
6,유안타스팩9호,,0.00%
7,수산인더스트리,130.37:1,18.94%
8,에이프릴바이오,14.43,10.66%
9,신한스팩10호,,0.00%
10,아이씨에이치,57.28:1,12.47%
11,성일하이텍,2269.68:1,38.66%
12,IBKS스팩18호,,0.00%
13,루닛,7.10,1.65%
14,대신밸런스12호스팩,,0.00%
15,에이치피에스피,1511.36:1,42.54%
16,영창케미칼,"1,616.27:1",5.92%
17,삼성스팩6호,,0.00%
18,넥스트칩,1623.41:1,11.58%
19,NH스팩23호,,0.00%
20,위니아에이드,955:1,1.39%
21,레이저쎌,1442.95:1,12.43%
22,KB스팩21호,,0.00%
23,교보스팩12호,,0.00%
24,보로노이,28.35,0.00%
25,범한퓨얼셀,751.39:1,10.75%
26,비플라이소프트,111.05:1,0.76%
27,청담글로벌,24.79,16.47%
28,하나금융스팩22호,,0.00%
29,가온칩스,1847.12:1,14.70%
30,마스턴프리미어리츠,,0.00%
31,대명에너지,254.74:1,1.18%
32,상상인스팩3호,,0.00%
33,포바이포,1846.32,55.52%
34,신영스팩7호,,0.00%
35,신한스팩9호,,0.00%
36,미래에셋비전스팩1호,,0.00%
37,키움스팩6호,,0.00%
38,지투파워,1729.63:1,11.16%
39,유진스팩8호,,0.00%
40,세아메카닉스,1812.83:1,6.73%
41,공구우먼,56.9:1,2.65%
42,유일로보틱스,1756.45:1,15.92%
43,모아데이타,114.19:1,0.87%
44,코람코더원리츠,,0.00%
45,SK증권스팩7호,,0.00%
46,비씨엔씨,1831.23:1,22.84%
47,노을,31.50:1,0.00%
48,브이씨,190.59:1,19.93%
49,풍원정밀,1556.53:1,11.00%
50,스톤브릿지벤처스,20.06:1,0.00%
51,하나금융스팩21호,,0.00%
52,퓨런티어,1535.42:1,11.08%
53,IBKS스팩17호,,0.00%
54,한국스팩10호,,0.00%
55,바이오에프디엔씨,74.01:1,11.80%
56,인카금융서비스,13.69:1,4.19%
57,나래나노텍,102:1,0.97%
58,아셈스,1618.26:1,7.71%
59,스코넥,1724.66:1,59.95%
60,이지트로닉스,1343.51:1,2.94%
61,LG에너지솔루션,2023.37:1,77.38%
62,애드바이오텍,102.15:1,0.00%
63,디비금융스팩10호,,0.00%
64,케이옥션,1638.36:1,36.80%
65,오토앤,1713:1,8.34%
66,래몽래인,1545.68:1,17.75%
67,하나금융스팩20호,,0.00%
68,NH스팩22호,,0.00%
69,하이스팩7호,,0.00%
70,교보스팩11호,,0.00%
71,케이티비네트워크,50.19:1,6.94%
72,툴젠,29.54:1,0.10%
73,대신밸런스스팩11호,,0.00%
74,신한서부티엔디리츠,564.84:1,15.28%
75,미래에셋글로벌리츠,1019.58:1,17.34%
76,마인즈랩,197.55:1,19.74%
77,알비더블유,1719.61,15.98%
78,바이옵트로,205.12:1,0.98%
79,트윔,1627.34:1:,9.20%
80,지오엘리먼트,1613.84,15.23%
81,NH올원리츠,628.2:1,17.07%
82,비트나인,1662.29:1,5.96%
83,디어유,2001.11:1,37.46%
84,아이티아이즈,1601.14:1,9.11%
85,지니너스,66.03:1,0.10%
86,카카오페이,1714.47:1,70.44%
87,피코그램,1472.19:1,12.96%
88,엔켐,1647.40,64.45%
89,리파인,64.19:1,3.22%
