,cor_name,market_type,listed_date,offer_price,sicho_p,profit_percent,first_p
0,오픈엣지테크놀로지,kosdaq,20220926,-,-,%,예정
1,IBKS스팩19호,kosdaq,20220826,2000,2095,4.75%,2095
2,신영스팩8호,kosdaq,20220826,2000,2105,5.25%,2105
3,대성하이텍,kosdaq,20220822,9000,13000,44.44%,14600
4,쏘카(유가),kospi,20220822,28000,28000,0%,26300
5,에이치와이티씨,kosdaq,20220809,15000,14700,-2%,15850
6,유안타스팩9호,kosdaq,20220804,2000,2090,4.5%,2090
7,새빗켐,kosdaq,20220804,35000,70000,100%,72500
8,수산인더스트리(유가),kospi,20220801,35000,33000,-5.71%,32500
9,신한스팩10호,kosdaq,20220729,2000,2150,7.5%,2145
10,아이씨에이치,kosdaq,20220729,34000,30600,-10%,27000
11,성일하이텍,kosdaq,20220728,50000,99900,99.8%,88200
12,에이프릴바이오,kosdaq,20220728,16000,19500,21.88%,21850
13,IBKS스팩18호,kosdaq,20220722,2000,2185,9.25%,2145
14,루닛,kosdaq,20220721,30000,30800,2.67%,40000
15,에이치피에스피,kosdaq,20220715,25000,50000,100%,43250
16,대신밸런스12호스팩,kosdaq,20220714,2000,2170,8.5%,2135
17,영창케미칼,kosdaq,20220714,18600,18400,-1.08%,16450
18,코난테크놀로지,kosdaq,20220707,25000,35300,41.2%,30600
19,넥스트칩,kosdaq,20220701,13000,17150,31.92%,14300
20,삼성스팩6호,kosdaq,20220630,2000,4000,100%,5200
21,NH스팩23호,kosdaq,20220628,2000,2085,4.25%,2090
22,교보스팩12호,kosdaq,20220624,2000,2075,3.75%,2070
23,보로노이,kosdaq,20220624,40000,36000,-10%,29350
24,레이저쎌,kosdaq,20220624,16000,20600,28.75%,17350
25,KB스팩21호,kosdaq,20220623,2000,2100,5%,2100
26,위니아에이드,kosdaq,20220623,16200,14600,-9.88%,11000
27,비플라이소프트,kosdaq,20220620,10000,10500,5%,9050
28,범한퓨얼셀,kosdaq,20220617,40000,41000,2.5%,47950
29,청담글로벌,kosdaq,20220603,6000,6500,8.33%,7640
30,마스턴프리미어리츠(유가),kospi,20220531,5000,5750,15%,6010
31,하나금융스팩22호,kosdaq,20220526,2000,2160,8%,2155
32,가온칩스,kosdaq,20220520,14000,24150,72.5%,27100
33,대명에너지,kosdaq,20220516,15000,15450,3%,13950
34,상상인스팩3호,kosdaq,20220429,2000,2155,7.75%,2150
35,신영스팩7호,kosdaq,20220428,2000,2295,14.75%,2270
36,포바이포,kosdaq,20220428,17000,34000,100%,44200
37,신한스팩9호,kosdaq,20220427,2000,2240,12%,2255
38,미래에셋비전스팩1호,kosdaq,20220421,2000,2270,13.5%,2295
39,키움스팩6호,kosdaq,20220407,2000,2180,9%,2215
40,지투파워,kosdaq,20220401,16400,32800,100%,35250
41,유진스팩8호,kosdaq,20220331,2000,2115,5.75%,2110
42,코람코더원리츠(유가),kospi,20220328,5000,5260,5.2%,5410
43,세아메카닉스,kosdaq,20220324,4400,8800,100%,7600
44,공구우먼,kosdaq,20220323,20000,21600,8%,20000
45,유일로보틱스,kosdaq,20220318,10000,20000,100%,26000
46,모아데이타,kosdaq,20220310,20000,18000,-10%,16050
47,SK증권스팩7호,kosdaq,20220307,2000,2135,6.75%,2130
48,노을,kosdaq,20220303,10000,9670,-3.3%,9210
49,비씨엔씨,kosdaq,20220303,13000,26000,100%,22600
50,풍원정밀,kosdaq,20220228,15200,20200,32.89%,21450
51,스톤브릿지벤처스,kosdaq,20220225,8000,7200,-10%,6510
52,하나금융스팩21호,kosdaq,20220225,2000,2080,4%,2090
53,브이씨,kosdaq,20220224,15000,17400,16%,15350
54,퓨런티어,kosdaq,20220223,15000,30000,100%,31200
55,바이오에프디엔씨,kosdaq,20220221,28000,25200,-10%,22200
56,한국스팩10호,kosdaq,20220221,2000,2130,6.5%,2130
57,IBKS스팩17호,kosdaq,20220218,2000,2660,33%,2315
58,인카금융서비스,kosdaq,20220216,18000,17250,-4.17%,14400
59,나래나노텍,kosdaq,20220208,17500,15750,-10%,13900
60,아셈스,kosdaq,20220207,8000,16000,100%,13500
61,스코넥,kosdaq,20220204,13000,26000,100%,24450
62,이지트로닉스,kosdaq,20220204,22000,23450,6.59%,25500
63,LG에너지솔루션(유가),kospi,20220127,300000,597000,99%,505000
64,애드바이오텍,kosdaq,20220124,7000,6730,-3.86%,5950
65,케이옥션,kosdaq,20220124,20000,40000,100%,52000
66,오토앤,kosdaq,20220120,5300,8800,66.04%,11400
67,디비금융스팩10호,kosdaq,20220120,2000,2075,3.75%,2115
68,래몽래인,kosdaq,20211230,15000,26000,73.33%,24000
69,하나금융스팩20호,kosdaq,20211227,2000,2130,6.5%,2135
70,NH스팩22호,kosdaq,20211224,2000,2090,4.5%,2085
71,하이스팩7호,kosdaq,20211220,2000,2060,3%,2085
72,교보스팩11호,kosdaq,20211220,2000,2065,3.25%,2095
73,케이티비네트워크,kosdaq,20211216,5800,6030,3.97%,5350
74,신한서부티엔디리츠(유가),kospi,20211210,5000,4805,-3.9%,4915
75,툴젠,kosdaq,20211210,70000,82300,17.57%,91100
76,미래에셋글로벌리츠(유가),kospi,20211203,5000,5310,6.2%,5230
