,cor_name,market_type,listed_date,offer_price,sicho_p,profit_percent
0,IBKS스팩19호,kosdaq,20220826,2000,-,%
1,대성하이텍,kosdaq,20220822,9000,-,%
2,쏘카(유가),kospi,20220822,28000,-,%
3,에이치와이티씨,kosdaq,20220809,15000,14700,-2%
4,유안타스팩9호,kosdaq,20220804,2000,2090,4.5%
5,새빗켐,kosdaq,20220804,35000,70000,100%
6,수산인더스트리(유가),kospi,20220801,35000,33000,-5.71%
7,신한스팩10호,kosdaq,20220729,2000,2150,7.5%
8,아이씨에이치,kosdaq,20220729,34000,30600,-10%
9,성일하이텍,kosdaq,20220728,50000,99900,99.8%
10,에이프릴바이오,kosdaq,20220728,16000,19500,21.88%
11,IBKS스팩18호,kosdaq,20220722,2000,2185,9.25%
12,루닛,kosdaq,20220721,30000,30800,2.67%
13,에이치피에스피,kosdaq,20220715,25000,50000,100%
14,대신밸런스12호스팩,kosdaq,20220714,2000,2170,8.5%
15,영창케미칼,kosdaq,20220714,18600,18400,-1.08%
16,코난테크놀로지,kosdaq,20220707,25000,35300,41.2%
17,넥스트칩,kosdaq,20220701,13000,17150,31.92%
18,삼성스팩6호,kosdaq,20220630,2000,4000,100%
19,NH스팩23호,kosdaq,20220628,2000,2085,4.25%
20,교보스팩12호,kosdaq,20220624,2000,2075,3.75%
21,보로노이,kosdaq,20220624,40000,36000,-10%
22,레이저쎌,kosdaq,20220624,16000,20600,28.75%
23,KB스팩21호,kosdaq,20220623,2000,2100,5%
24,위니아에이드,kosdaq,20220623,16200,14600,-9.88%
25,비플라이소프트,kosdaq,20220620,10000,10500,5%
26,범한퓨얼셀,kosdaq,20220617,40000,41000,2.5%
27,청담글로벌,kosdaq,20220603,6000,6500,8.33%
28,마스턴프리미어리츠(유가),kospi,20220531,5000,5750,15%
29,하나금융스팩22호,kosdaq,20220526,2000,2160,8%
30,가온칩스,kosdaq,20220520,14000,24150,72.5%
31,대명에너지,kosdaq,20220516,15000,15450,3%
32,상상인스팩3호,kosdaq,20220429,2000,2155,7.75%
33,신영스팩7호,kosdaq,20220428,2000,2295,14.75%
34,포바이포,kosdaq,20220428,17000,34000,100%
35,신한스팩9호,kosdaq,20220427,2000,2240,12%
36,미래에셋비전스팩1호,kosdaq,20220421,2000,2270,13.5%
37,키움스팩6호,kosdaq,20220407,2000,2180,9%
38,지투파워,kosdaq,20220401,16400,32800,100%
39,유진스팩8호,kosdaq,20220331,2000,2115,5.75%
40,코람코더원리츠(유가),kospi,20220328,5000,5260,5.2%
41,세아메카닉스,kosdaq,20220324,4400,8800,100%
42,공구우먼,kosdaq,20220323,20000,21600,8%
43,유일로보틱스,kosdaq,20220318,10000,20000,100%
44,모아데이타,kosdaq,20220310,20000,18000,-10%
45,SK증권스팩7호,kosdaq,20220307,2000,2135,6.75%
46,노을,kosdaq,20220303,10000,9670,-3.3%
47,비씨엔씨,kosdaq,20220303,13000,26000,100%
48,풍원정밀,kosdaq,20220228,15200,20200,32.89%
49,스톤브릿지벤처스,kosdaq,20220225,8000,7200,-10%
50,하나금융스팩21호,kosdaq,20220225,2000,2080,4%
51,브이씨,kosdaq,20220224,15000,17400,16%
52,퓨런티어,kosdaq,20220223,15000,30000,100%
53,바이오에프디엔씨,kosdaq,20220221,28000,25200,-10%
54,한국스팩10호,kosdaq,20220221,2000,2130,6.5%
55,IBKS스팩17호,kosdaq,20220218,2000,2660,33%
56,인카금융서비스,kosdaq,20220216,18000,17250,-4.17%
57,나래나노텍,kosdaq,20220208,17500,15750,-10%
58,아셈스,kosdaq,20220207,8000,16000,100%
59,스코넥,kosdaq,20220204,13000,26000,100%
60,이지트로닉스,kosdaq,20220204,22000,23450,6.59%
61,LG에너지솔루션(유가),kospi,20220127,300000,597000,99%
62,애드바이오텍,kosdaq,20220124,7000,6730,-3.86%
63,케이옥션,kosdaq,20220124,20000,40000,100%
64,오토앤,kosdaq,20220120,5300,8800,66.04%
65,디비금융스팩10호,kosdaq,20220120,2000,2075,3.75%
66,래몽래인,kosdaq,20211230,15000,26000,73.33%
67,하나금융스팩20호,kosdaq,20211227,2000,2130,6.5%
68,NH스팩22호,kosdaq,20211224,2000,2090,4.5%
69,하이스팩7호,kosdaq,20211220,2000,2060,3%
70,교보스팩11호,kosdaq,20211220,2000,2065,3.25%
71,케이티비네트워크,kosdaq,20211216,5800,6030,3.97%
72,신한서부티엔디리츠(유가),kospi,20211210,5000,4805,-3.9%
73,툴젠,kosdaq,20211210,70000,82300,17.57%
74,미래에셋글로벌리츠(유가),kospi,20211203,5000,5310,6.2%
75,대신밸런스스팩11호,kosdaq,20211202,2000,2060,3%
76,마인즈랩,kosdaq,20211123,30000,29650,-1.17%
77,알비더블유,kosdaq,20211122,21400,42800,100%
78,바이옵트로,kosdaq,20211118,7500,7300,-2.67%
79,NH올원리츠(유가),kospi,20211118,5000,5490,9.8%
80,트윔,kosdaq,20211117,22000,44000,100%
81,지오엘리먼트,kosdaq,20211111,10000,20000,100%
82,아이티아이즈,kosdaq,20211111,14300,28600,100%
83,비트나인,kosdaq,20211110,11000,15250,38.64%
84,디어유,kosdaq,20211110,26000,52000,100%
85,지니너스,kosdaq,20211108,20000,18000,-10%
86,카카오페이(유가),kospi,20211103,90000,180000,100%
87,피코그램,kosdaq,20211103,12500,25000,100%
88,엔켐,kosdaq,20211101,42000,81600,94.29%
89,리파인,kosdaq,20211029,21000,18900,-10%
90,지앤비에스엔지니어링,kosdaq,20211029,17400,24000,37.93%
91,아이패밀리에스씨,kosdaq,20211028,25000,28650,14.6%
92,차백신연구소,kosdaq,20211022,11000,11700,6.36%
93,지아이텍,kosdaq,20211021,14000,28000,100%
94,NH스팩21호,kosdaq,20211015,2000,2075,3.75%
95,케이카(유가),kospi,20211013,25000,22500,-10%
96,씨유테크,kosdaq,20211008,6000,12000,100%
97,원준,kosdaq,20211007,65000,102000,56.92%
98,하나금융스팩19호,kosdaq,20211007,2000,2045,2.25%
99,아스플로,kosdaq,20211007,25000,36000,44%
100,NH스팩20호,kosdaq,20211005,2000,2030,1.5%
101,에스앤디,kosdaq,20210929,28000,25200,-10%
102,실리콘투,kosdaq,20210929,27200,38500,41.54%
103,프롬바이오,kosdaq,20210928,18000,19250,6.94%
104,신한스팩8호,kosdaq,20210927,2000,2100,5%
105,바이오플러스,kosdaq,20210927,31500,39500,25.4%
106,대신밸런스스팩10호,kosdaq,20210917,2000,2305,15.25%
107,현대중공업(유가),kospi,20210917,60000,111000,85%
108,SK리츠(유가),kospi,20210914,5000,5340,6.8%
109,유진스팩7호,kosdaq,20210913,2000,4000,100%
110,와이엠텍,kosdaq,20210910,28000,56000,100%
111,에이비온,kosdaq,20210908,17000,16800,-1.18%
112,IBKS스팩16호,kosdaq,20210903,2000,4000,100%
113,일진하이솔루스(유가),kospi,20210901,34300,68600,100%
114,디앤디플랫폼리츠,kosdaq,20210827,5000,5390,7.8%
115,바이젠셀,kosdaq,20210825,52700,73500,39.47%
116,아주스틸(유가),kospi,20210820,15100,30200,100%
117,브레인즈컴퍼니,kosdaq,20210819,25000,50000,100%
118,롯데렌탈(유가),kospi,20210819,59000,57500,-2.54%
119,딥노이드,kosdaq,20210817,42000,72000,71.43%
120,한컴라이프케어(유가),kospi,20210817,13700,16050,17.15%
121,엠로,kosdaq,20210813,22600,32700,44.69%
122,플래티어,kosdaq,20210812,11000,22000,100%
123,원티드랩,kosdaq,20210811,35000,70000,100%
124,크래프톤(유가),kospi,20210810,498000,448500,-9.94%
125,에이치케이이노엔,kosdaq,20210809,59000,68100,15.42%
126,카카오뱅크(유가),kospi,20210806,39000,53700,37.69%
127,한화플러스스팩2호,kosdaq,20210805,2000,4000,100%
128,에브리봇,kosdaq,20210728,36700,33050,-9.95%
129,맥스트,kosdaq,20210727,15000,30000,100%
130,큐라클,kosdaq,20210722,25000,36500,46%
131,에스디바이오센서(유가),kospi,20210716,52000,57000,9.62%
132,오비고,kosdaq,20210713,14300,19200,34.27%
133,아모센스,kosdaq,20210625,12400,12250,-1.21%
134,이노뎁,kosdaq,20210618,18000,22200,23.33%
135,삼성머스트스팩5호,kosdaq,20210617,2000,4000,100%
136,라온테크,kosdaq,20210617,18000,20250,12.5%
137,엘비루셈,kosdaq,20210611,14000,18000,28.57%
138,에이디엠코리아,kosdaq,20210603,3800,7600,100%
139,제주맥주,kosdaq,20210526,3200,4780,49.38%
140,진시스템,kosdaq,20210526,20000,19100,-4.5%
141,삼영에스앤씨,kosdaq,20210521,11000,22000,100%
142,삼성스팩4호,kosdaq,20210521,2000,2070,3.5%
143,NH스팩19호(유가),kospi,20210521,2000,2075,3.75%
144,샘씨엔에스,kosdaq,20210520,6500,6400,-1.54%
