,기업명,경쟁률,의무보유확약,시초/공모%(수익률)
0,IBKS스팩18호,,0.00%,% 
1,루닛,7.10,1.65%,% 
2,대신밸런스12호스팩,,0.00%,8.5% 
3,에이치피에스피,1511.36:1,42.54%,100% 
4,영창케미칼,"1,616.27:1",5.92%,-1.08% 
5,삼성스팩6호,,0.00%,100% 
6,넥스트칩,1623.41:1,11.58%,31.92% 
7,NH스팩23호,,0.00%,4.25% 
8,위니아에이드,955:1,1.39%,-9.88% 
9,레이저쎌,1442.95:1,12.43%,28.75% 
10,KB스팩21호,,0.00%,5% 
11,교보스팩12호,,0.00%,3.75% 
12,보로노이,28.35,0.00%,-10% 
13,범한퓨얼셀,751.39:1,10.75%,2.5% 
14,비플라이소프트,111.05:1,0.76%,5% 
15,청담글로벌,24.79,16.47%,8.33% 
16,하나금융스팩22호,,0.00%,8% 
17,가온칩스,1847.12:1,14.70%,72.5% 
18,대명에너지,254.74:1,1.18%,3% 
19,상상인스팩3호,,0.00%,7.75% 
20,포바이포,1846.32,55.52%,100% 
21,신영스팩7호,,0.00%,14.75% 
22,신한스팩9호,,0.00%,12% 
23,미래에셋비전스팩1호,,0.00%,13.5% 
24,키움스팩6호,,0.00%,9% 
25,지투파워,1729.63:1,11.16%,100% 
26,유진스팩8호,,0.00%,5.75% 
27,세아메카닉스,1812.83:1,6.73%,100% 
28,공구우먼,56.9:1,2.65%,8% 
29,유일로보틱스,1756.45:1,15.92%,100% 
30,모아데이타,114.19:1,0.87%,-10% 
31,SK증권스팩7호,,0.00%,6.75% 
32,비씨엔씨,1831.23:1,22.84%,100% 
33,노을,31.50:1,0.00%,-3.3% 
34,브이씨,190.59:1,19.93%,16% 
35,풍원정밀,1556.53:1,11.00%,32.89% 
36,스톤브릿지벤처스,20.06:1,0.00%,-10% 
37,하나금융스팩21호,,0.00%,4% 
38,퓨런티어,1535.42:1,11.08%,100% 
39,IBKS스팩17호,,0.00%,33% 
40,한국스팩10호,,0.00%,6.5% 
41,바이오에프디엔씨,74.01:1,11.80%,-10% 
42,인카금융서비스,13.69:1,4.19%,-4.17% 
43,나래나노텍,102:1,0.97%,-10% 
44,아셈스,1618.26:1,7.71%,100% 
45,스코넥,1724.66:1,59.95%,100% 
46,이지트로닉스,1343.51:1,2.94%,6.59% 
47,애드바이오텍,102.15:1,0.00%,-3.86% 
48,디비금융스팩10호,,0.00%,3.75% 
49,케이옥션,1638.36:1,36.80%,100% 
50,오토앤,1713:1,8.34%,66.04% 
51,래몽래인,1545.68:1,17.75%,73.33% 
52,하나금융스팩20호,,0.00%,6.5% 
53,NH스팩22호,,0.00%,4.5% 
54,하이스팩7호,,0.00%,3% 
55,교보스팩11호,,0.00%,3.25% 
56,케이티비네트워크,50.19:1,6.94%,3.97% 
57,툴젠,29.54:1,0.10%,17.57% 
58,대신밸런스스팩11호,,0.00%,3% 
59,마인즈랩,197.55:1,19.74%,-1.17% 
60,알비더블유,1719.61,15.98%,100% 
61,바이옵트로,205.12:1,0.98%,-2.67% 
62,트윔,1627.34:1:,9.20%,100% 
63,지오엘리먼트,1613.84,15.23%,100% 
64,비트나인,1662.29:1,5.96%,38.64% 
65,디어유,2001.11:1,37.46%,100% 
66,아이티아이즈,1601.14:1,9.11%,100% 
67,지니너스,66.03:1,0.10%,-10% 
68,피코그램,1472.19:1,12.96%,100% 
69,엔켐,1647.40,64.45%,94.29% 
70,리파인,64.19:1,3.22%,-10% 
71,지앤비에스엔지니어링,1134.34:1,4.37%,37.93% 
72,아이패밀리에스씨,63.10:1,0.00%,14.6% 
73,차백신연구소,206.23:1,1.93%,6.36% 
74,지아이텍,2068.17,25.28%,100% 
75,NH스팩21호,,0.00%,3.75% 
76,씨유테크,1565.03:1,22.76%,100% 
77,아스플로,2142.7:1,12.10%,44% 
78,원준,1464.10:1,44.30%,56.92% 
79,하나금융스팩19호,,0.00%,2.25% 
80,NH스팩20호,,0.00%,1.5% 
81,실리콘투,1437.63:1,8.37%,41.54% 
82,프롬바이오,85.71:1,1.45%,6.94% 
83,신한스팩8호,,0.00%,5% 
84,바이오플러스,1220.2:1,7.80%,25.4% 
85,에스앤디,173.11:1,0.01%,-10% 
86,유진스팩7호,,0.00%,100% 
87,와이엠텍,1696.19:1,31.59%,100% 
88,에이비온,139.36:1,4.30%,-1.18% 
89,IBKS스팩16호,,0.00%,100% 
90,바이젠셀,1271.21:1,13.61%,39.47% 
91,브레인즈컴퍼니,1428.8:1,8.92%,100% 
92,딥노이드,1179.07:1,7.29%,71.43% 
93,플래티어,1631:1,18.29%,100% 
94,엠로,685.60:1,6.97%,44.69% 
95,원티드랩,1503.91:1,10.98%,100% 
96,디앤디플랫폼리츠,,0.00%,7.8% 
97,에이치케이이노엔,1871.36:1,13.49%,15.42% 
98,한화플러스스팩2호,,0.00%,100% 
99,에브리봇,576.74:1,0.67%,-9.95% 
100,맥스트,1587.01:1,39.13%,100% 
101,큐라클,1219.27:1,7.23%,46% 
102,오비고,1123.74,7.68%,34.27% 
103,아모센스,116.79:1,2.57%,-1.21% 
104,삼성머스트스팩5호,,0.00%,100% 
105,이노뎁,1573.93:1,6.05%,23.33% 
106,라온테크,1526.2:1,8.90%,12.5% 
107,엘비루셈,1419.23:1,4.48%,28.57% 
108,에이디엠코리아,1515.98:1,12.35%,100% 
109,제주맥주,1356.43:1,5.47%,49.38% 
110,삼영에스앤씨,1762.39,15.27%,100% 
111,삼성스팩4호,,0.00%,3.5% 
112,진시스템,934.07:1,1.50%,-4.5% 
113,샘씨엔에스,1537.67:1,26.07%,-1.54% 
114,씨앤씨인터내셔널,1029.14:1,5.28%,-0.53% 
115,에이치피오,252.13:1,4.12%,-9.91% 
116,하이스팩6호,,0.00%,3% 
117,쿠콘,1594.61:1,30.90%,77.78% 
118,해성티피씨,1508.95:1,16.05%,100% 
119,이삭엔지니어링,1427.15:1,20.73%,100% 
120,유진스팩6호,,0.00%,2.5% 
121,유안타스팩8호,,0.00%,1.5% 
122,엔시스,1467.73:1,21.73%,100% 
123,자이언트스텝,1691.65:1,24.42%,100% 
124,제노코,1452.49:1,22.15%,80.56% 
125,라이프시맨틱스,1402.17:1,3.78%,100% 
126,바이오다인,1364.85:1,8.80%,33.33% 
127,디비금융스팩9호,,0.00%,1.25% 
128,싸이버원,1303.1:1,9.70%,89.47% 
129,네오이뮨텍,1374.09:1,25.54%,100% 
130,프레스티지바이오로직스,369.91:1,6.50%,-2.42% 
131,나노씨엠에스,1295.75:1,6.65%,65% 
132,하나머스트스팩7호,,0.00%,2.75% 
133,IBKS스팩15호,,0.00%,3% 
134,뷰노,1457.21:1,23.80%,56.67% 
135,씨이랩,1371.37:1,12.97%,33.14% 
136,오로스테크놀로지,1260:1,37.12%,100% 
137,유일에너테크,1427.69:1,61.06%,100% 
138,피엔에이치테크,1454.47:1,9.58%,13.89% 
139,하나금융스팩17호,,0.00%,2.25% 
140,아이퀘스트,1504.02:1,18.70%,100% 
141,와이더플래닛,1449.22:1,9.59%,55.63% 
142,레인보우로보틱스,1489.9:1,19.90%,100% 
143,신한스팩7호,,0.00%,1% 
144,모비릭스,1407.53:1,5.73%,100% 
145,핑거,1453.12:1,12.64%,100% 
146,씨앤투스성진,1010.02:1,1.70%,-0.94% 
147,선진뷰티사이언스,1431:1,17.83%,100% 
148,엔비티,1425.3:1,10.70%,100% 
149,한국스팩9호,,0.00%,1% 
150,유안타스팩7호,,0.00%,0.5% 
151,석경에이티,1390.29:1,6.68%,100% 
152,대신밸런스스팩9호,,0.00%,1% 
153,프리시젼바이오,1231.23:1,1.62%,100% 
154,지놈앤컴퍼니,1163.49:1,9.08%,100% 
155,엔에이치스팩18호,,0.00%,1.25% 
156,알체라,1315.61:1,3.88%,100% 
157,에이치엠씨아이비스팩5호,,0.00%,0% 
158,에프앤가이드,1327.98:1,7.60%,100% 
159,티엘비,1318.82:1,6.10%,99.74% 
160,인바이오,1386.04:1,8.23%,100% 
161,퀀타매트릭스,185.56:1,4.60%,-1.76% 
162,디비금융스팩8호,,0.00%,-0.75% 
163,엔젠바이오,1006.96:1,3.33%,100% 
164,앱코,1141.02:1,3.64%,24.07% 
165,클리노믹스,494.20:1,2.05%,33.09% 
166,엔에프씨,979.94:1,6.15%,54.48% 
167,포인트모바일,1447.07:1,18.19%,100% 
168,제일전기공업,1196.21:1,8.86%,100% 
169,티앤엘,338.91:1,0.41%,100% 
170,하나기술,1393.98:1,16.83%,100% 
171,고바이오랩,64.33:1,0.03%,100% 
172,네패스아크,707.7:1,1.60%,36.6% 
173,소룩스,1135.7:1,0.80%,100% 
174,위드텍,1336.49:1,23.53%,48.4% 
175,센코,848.37:1,2.20%,2.69% 
176,바이브컴퍼니,1221.45:1,7.96%,42.86% 
177,미코바이오메드,159.15:1,0.02%,7.33% 
178,피플바이오,40.4:1,0.00%,-10% 
179,넥스틴,30.25:1,23.30%,-5.7% 
180,원방테크,406.8:1,3.20%,-9.94% 
181,엔에이치스팩17호,,0.00%,0.25% 
182,비나텍,1098.10:1,22.47%,33.33% 
183,박셀바이오,94.18:1,11.68%,-10% 
184,압타머사이언스,830.32:1,3.27%,15.4% 
185,비비씨,977.5:1,3.90%,-9.93% 
186,핌스,1210.28:1,4.39%,10.53% 
187,교보스팩10호,,0.00%,1% 
188,이오플로우,150.87:1,14.83%,14.47% 
189,카카오게임즈,1478.53:1,58.59%,100% 
190,피엔케이피부임상연구센타,1372.51:1,17.10%,53.01% 
191,미래에셋대우스팩5호,,0.00%,0% 
192,아이디피,894:1,7.40%,34.69% 
193,셀레믹스,1203.41:1,5.41%,24.5% 
194,브랜드엑스코퍼레이션,47.06:1,0.00%,-0.77% 
195,미투젠,1114.56:1,1.35%,7.78% 
196,영림원소프트랩,1269.3:1,4.30%,53.04% 
197,한국파마,1296.86:1,0.00%,100% 
198,이루다,1316.5:1,7.80%,100% 
199,와이팜,407.01:1,8.01%,41.36% 
200,에이치엠씨아이비스팩4호,,0.00%,0.5% 
201,이엔드디,1168.72:1,8.99%,26.39% 
202,엠투아이,61.70:1,1.60%,20.83% 
203,더네이쳐홀딩스,97.21:1,8.46%,-10% 
204,제놀루션,1161.09:1,21.36%,100% 
205,솔트룩스,528.17:1,5.58%,60% 
206,하나금융스팩16호,,0.00%,1% 
207,티에스아이,1283.73:1,4.97%,100% 
208,에이프로,1090.80:1,10.46%,100% 
209,IBKS스팩13호,,0.00%,0.5% 
210,소마젠,69.46:1,0.00%,5.91% 
211,신도기연,1272.90:1,14.51%,100% 
212,위더스제약,1033.41:1,17.36%,100% 
213,마크로밀엠브레인,1056.80:1,19.39%,100% 
214,젠큐릭스,77.03:1,0.00%,10.57% 
215,IBKS스팩14호,,0.00%,0.5% 
216,엘이티,1255.9:1,24.50%,100% 
217,엔에이치스팩16호,,0.00%,0.25% 
218,에스씨엠생명과학,1032.17:1,7.70%,73.53% 
219,드림씨아이에스,926.11:1,6.82%,87.92% 
220,이베스트스팩5호,,0.00%,0% 
221,케이프이에스스팩4호,,0.00%,0.25% 
222,엔피디,307.50:1,8.78%,-10% 
223,에스케이스팩6호,,0.00%,1.25% 
224,플레이디,1270.7:1,7.55%,32.35% 
