,기업명,수요예측일,청약일
0,에이치와이티씨,2022.07.21,2022.07.29
1,새빗켐,2022.07.20,2022.07.27
2,유안타스팩9호,2022.07.19,2022.07.26
3,수산인더스트리,2022.07.14,2022.07.21
4,에이프릴바이오,2022.07.13,2022.07.20
5,신한스팩10호,2022.07.13,2022.07.20
6,아이씨에이치,2022.07.13,2022.07.20
7,성일하이텍,2022.07.11,2022.07.19
8,IBKS스팩18호,2022.07.07,2022.07.13
9,루닛,2022.07.07,2022.07.13
10,대신밸런스12호스팩,2022.06.30,2022.07.06
11,에이치피에스피,2022.06.29,2022.07.07
12,영창케미칼,2022.06.27,2022.07.05
13,삼성스팩6호,2022.06.16,2022.06.22
14,넥스트칩,2022.06.16,2022.06.22
15,NH스팩23호,2022.06.13,2022.06.17
16,위니아에이드,2022.06.09,2022.06.15
17,레이저쎌,2022.06.09,2022.06.15
18,KB스팩21호,2022.06.08,2022.06.15
19,교보스팩12호,2022.06.08,2022.06.15
20,보로노이,2022.06.08,2022.06.15
21,범한퓨얼셀,2022.06.02,2022.06.09
22,비플라이소프트,2022.06.02,2022.06.10
23,청담글로벌,2022.05.17,2022.05.25
24,하나금융스팩22호,2022.05.11,2022.05.18
25,가온칩스,2022.05.02,2022.05.12
26,마스턴프리미어리츠,2022.05.02,2022.05.13
27,대명에너지,2022.04.27,2022.05.04
28,상상인스팩3호,2022.04.14,2022.04.20
29,포바이포,2022.04.14,2022.04.20
30,신영스팩7호,2022.04.13,2022.04.19
31,신한스팩9호,2022.04.12,2022.04.19
32,미래에셋비전스팩1호,2022.04.05,2022.04.12
33,키움스팩6호,2022.03.23,2022.03.29
34,지투파워,2022.03.17,2022.03.23
35,유진스팩8호,2022.03.17,2022.03.23
36,세아메카닉스,2022.03.10,2022.03.16
37,공구우먼,2022.03.07,2022.03.15
38,유일로보틱스,2022.02.24,2022.03.08
39,모아데이타,2022.02.21,2022.02.28
40,코람코더원리츠,2022.02.21,2022.03.03
41,SK증권스팩7호,2022.02.16,2022.02.23
42,비씨엔씨,2022.02.16,2022.02.22
43,노을,2022.02.15,2022.02.22
44,브이씨,2022.02.10,2022.02.16
45,풍원정밀,2022.02.10,2022.02.18
46,스톤브릿지벤처스,2022.02.09,2022.02.16
47,하나금융스팩21호,2022.02.09,2022.02.16
