,기업명,경쟁률,의무보유확약,시초/공모%(수익률)
0,에이치와이티씨,1480.78:1,6.08%,200
1,새빗켐,1670.90:1,37.70%,200
2,유안타스팩9호,,0.00%,200
3,에이프릴바이오,14.43,10.66%,21.88% 
4,신한스팩10호,,0.00%,7.5% 
5,아이씨에이치,57.28:1,12.47%,-10% 
6,성일하이텍,2269.68:1,38.66%,99.8% 
7,IBKS스팩18호,,0.00%,9.25% 
8,루닛,7.10,1.65%,2.67% 
9,대신밸런스12호스팩,,0.00%,8.5% 
10,에이치피에스피,1511.36:1,42.54%,100% 
11,영창케미칼,"1,616.27:1",5.92%,-1.08% 
12,코난테크놀로지,1482.6:1,7.07%,41.2% 
13,삼성스팩6호,,0.00%,100% 
14,넥스트칩,1623.41:1,11.58%,31.92% 
15,NH스팩23호,,0.00%,4.25% 
16,위니아에이드,955:1,1.39%,-9.88% 
17,레이저쎌,1442.95:1,12.43%,28.75% 
18,KB스팩21호,,0.00%,5% 
19,교보스팩12호,,0.00%,3.75% 
20,보로노이,28.35,0.00%,-10% 
21,범한퓨얼셀,751.39:1,10.75%,2.5% 
22,비플라이소프트,111.05:1,0.76%,5% 
23,청담글로벌,24.79,16.47%,8.33% 
24,하나금융스팩22호,,0.00%,8% 
25,가온칩스,1847.12:1,14.70%,72.5% 
26,대명에너지,254.74:1,1.18%,3% 
27,상상인스팩3호,,0.00%,7.75% 
28,포바이포,1846.32,55.52%,100% 
29,신영스팩7호,,0.00%,14.75% 
30,신한스팩9호,,0.00%,12% 
31,미래에셋비전스팩1호,,0.00%,13.5% 
32,키움스팩6호,,0.00%,9% 
33,지투파워,1729.63:1,11.16%,100% 
34,유진스팩8호,,0.00%,5.75% 
35,세아메카닉스,1812.83:1,6.73%,100% 
