,기업명,동향
4,수산인더스트리(유가),0.67
6,아이씨에이치,0.75
7,성일하이텍,0.86
8,에이프릴바이오,0.83
10,루닛,0.8
11,에이치피에스피,0.75
13,영창케미칼,0.67
14,코난테크놀로지,1.0
15,넥스트칩,1.0
19,보로노이,0.8
20,레이저쎌,0.89
22,위니아에이드,0.88
23,비플라이소프트,1.0
24,범한퓨얼셀,1.0
25,청담글로벌,1.0
28,가온칩스,1.0
29,대명에너지,1.0
32,포바이포,1.0
36,지투파워,1.0
39,세아메카닉스,0.65
40,공구우먼,0.63
41,유일로보틱스,0.61
42,모아데이타,0.59
44,노을,0.62
45,비씨엔씨,0.67
46,풍원정밀,0.64
47,스톤브릿지벤처스,0.62
49,브이씨,0.67
50,퓨런티어,0.64
51,바이오에프디엔씨,0.6
54,인카금융서비스,0.67
55,나래나노텍,0.75
56,아셈스,0.86
57,스코넥,0.83
58,이지트로닉스,0.8
59,LG에너지솔루션(유가),0.75
60,애드바이오텍,0.67
61,케이옥션,1.0
62,오토앤,1.0
64,래몽래인,0.79
69,케이티비네트워크,0.78
71,툴젠,0.77
74,마인즈랩,0.76
75,알비더블유,0.8
76,바이옵트로,0.79
78,트윔,0.83
79,지오엘리먼트,0.82
80,아이티아이즈,0.81
81,비트나인,0.8
82,디어유,0.79
83,지니너스,0.77
84,카카오페이(유가),0.83
85,피코그램,0.82
86,엔켐,0.8
87,리파인,0.78
88,지앤비에스엔지니어링,0.88
89,아이패밀리에스씨,0.86
90,차백신연구소,0.83
91,지아이텍,0.8
93,케이카(유가),0.75
94,씨유테크,1.0
95,원준,1.0
97,아스플로,1.0
99,에스앤디,0.8
100,실리콘투,0.83
101,프롬바이오,0.83
103,바이오플러스,0.82
105,현대중공업(유가),0.81
108,와이엠텍,0.8
109,에이비온,0.79
111,일진하이솔루스(유가),0.83
113,바이젠셀,0.82
114,아주스틸(유가),0.81
115,브레인즈컴퍼니,0.8
116,롯데렌탈(유가),0.79
117,딥노이드,0.85
118,한컴라이프케어(유가),0.83
119,엠로,0.82
120,플래티어,0.8
121,원티드랩,0.78
122,크래프톤(유가),0.75
123,에이치케이이노엔,0.86
124,카카오뱅크(유가),0.83
126,에브리봇,0.8
127,맥스트,1.0
128,큐라클,1.0
129,에스디바이오센서(유가),1.0
130,오비고,1.0
131,아모센스,0.69
