range,name,type,day,gongmo_p,sicho_p,count,quarter,year,총점,카운트,Quater_per
0,오스코텍,kosdaq,2006-01-17,9000,13000,1,1,2006,1,1,0.0
1,켐트로닉스,kosdaq,2006-01-17,9500,9800,1,1,2006,2,2,0.0
2,인포뱅크,kosdaq,2006-07-04,4600,4610,1,3,2006,1,1,1.0
3,사이버패스,kosdaq,2006-07-04,5200,4860,-1,3,2006,0,2,1.0
4,맥스엔지니어링,kosdaq,2006-07-04,2900,4285,1,3,2006,1,3,1.0
5,팬엔터테인먼트,kosdaq,2006-07-07,7000,9900,1,3,2006,2,4,1.0
6,미디어플렉스,kosdaq,2006-07-07,24000,37500,1,3,2006,3,5,1.0
7,한국전자금융,kosdaq,2006-07-14,20500,32950,1,3,2006,4,6,1.0
8,엑스씨이,kosdaq,2006-07-21,7500,6900,-1,3,2006,3,7,1.0
9,티엘아이,kosdaq,2006-07-25,11400,11000,-1,3,2006,2,8,1.0
10,젠트로,kosdaq,2006-07-25,2200,2400,1,3,2006,3,9,1.0
11,트라이콤,kosdaq,2006-07-25,4800,4320,-1,3,2006,2,10,1.0
12,지오텔,kosdaq,2006-08-01,9800,9250,-1,3,2006,1,11,1.0
13,엘씨텍,kosdaq,2006-08-08,1500,3000,1,3,2006,2,12,1.0
14,평산,kosdaq,2006-08-22,15500,24400,1,3,2006,3,13,1.0
15,현대EP(유가),kospi,2006-09-25,18500,37000,1,3,2006,4,14,1.0
16,엠디에스테크놀로지,kosdaq,2006-09-26,13000,17500,1,3,2006,5,15,1.0
17,바텍,kosdaq,2006-09-28,6700,8920,1,3,2006,6,16,1.0
18,용현비엠,kosdaq,2006-10-10,9000,13000,1,4,2006,1,1,0.375
19,삼정펄프(유가),kospi,2006-10-17,29000,55400,1,4,2006,2,2,0.375
20,광진윈텍,kosdaq,2006-10-20,2600,5200,1,4,2006,3,3,0.375
21,이녹스,kosdaq,2006-10-20,6500,9630,1,4,2006,4,4,0.375
22,제이티,kosdaq,2006-10-27,2700,4000,1,4,2006,5,5,0.375
23,넥스턴,kosdaq,2006-11-01,4100,4600,1,4,2006,6,6,0.375
24,성창에어텍,kosdaq,2006-11-03,3400,6000,1,4,2006,7,7,0.375
25,인천도시가스(유가),kospi,2006-11-07,19000,34000,1,4,2006,8,8,0.375
26,고려반도체시스템,kosdaq,2006-11-08,5500,8000,1,4,2006,9,9,0.375
27,화신테크,kosdaq,2006-11-10,2700,5400,1,4,2006,10,10,0.375
28,주연테크(유가),kospi,2006-11-15,6400,10200,1,4,2006,11,11,0.375
29,크레듀,kosdaq,2006-11-16,24000,48000,1,4,2006,12,12,0.375
30,큐에스아이,kosdaq,2006-11-24,6800,13600,1,4,2006,13,13,0.375
31,에스에이티,kosdaq,2006-11-28,5200,10400,1,4,2006,14,14,0.375
32,다사테크,kosdaq,2006-12-05,12000,24000,1,4,2006,15,15,0.375
33,유니테스트,kosdaq,2006-12-05,22000,28000,1,4,2006,16,16,0.375
34,파트론,kosdaq,2006-12-13,8300,10150,1,4,2006,17,17,0.375
35,한국컴퓨터,kosdaq,2006-12-13,23500,37000,1,4,2006,18,18,0.375
36,휴온스,kosdaq,2006-12-19,9300,17100,1,4,2006,19,19,0.375
37,펜타마이크로,kosdaq,2006-12-19,10200,14000,1,4,2006,20,20,0.375
38,디앤티,kosdaq,2006-12-22,6200,9100,1,4,2006,21,21,0.375
39,아비스타(유가),kospi,2006-12-26,11100,13200,1,4,2006,22,22,0.375
40,신양엔지니어링,kosdaq,2006-12-27,9100,9400,1,4,2006,23,23,0.375
41,동아엘텍,kosdaq,2007-01-03,6000,7020,1,1,2007,1,1,1.0
42,젯텍,kosdaq,2007-01-10,7000,8500,1,1,2007,2,2,1.0
43,비에이치,kosdaq,2007-01-26,4600,4805,1,1,2007,3,3,1.0
44,네오팜,kosdaq,2007-01-30,8000,12100,1,1,2007,4,4,1.0
45,나노캠텍,kosdaq,2007-01-30,7000,13000,1,1,2007,5,5,1.0
46,오스템임플란트,kosdaq,2007-02-07,15000,16400,1,1,2007,6,6,1.0
47,이트레이드증권,kosdaq,2007-02-21,6500,13000,1,1,2007,7,7,1.0
48,이엠텍,kosdaq,2007-05-02,7100,11000,1,2,2007,1,1,1.0
49,에프알텍,kosdaq,2007-05-18,3300,6000,1,2,2007,2,2,1.0
50,에버테크노,kosdaq,2007-05-22,5200,8000,1,2,2007,3,3,1.0
51,한라레벨,kosdaq,2007-05-22,8600,17200,1,2,2007,4,4,1.0
52,잘만테크,kosdaq,2007-05-22,14000,24000,1,2,2007,5,5,1.0
53,상신이디피,kosdaq,2007-05-23,7000,14000,1,2,2007,6,6,1.0
54,동국제약,kosdaq,2007-05-29,14000,28000,1,2,2007,7,7,1.0
55,케이프,kosdaq,2007-05-29,18000,36000,1,2,2007,8,8,1.0
56,풍강,kosdaq,2007-06-01,3700,7300,1,2,2007,9,9,1.0
57,엔텔스,kosdaq,2007-06-20,10000,20000,1,2,2007,10,10,1.0
58,삼성카드(유가),kospi,2007-06-27,48000,62200,1,2,2007,11,11,1.0
59,디지텍시스템스,kosdaq,2007-07-04,21000,37500,1,3,2007,1,1,1.0
60,컴투스,kosdaq,2007-07-06,12000,24000,1,3,2007,2,2,1.0
61,메모리앤테스팅,kosdaq,2007-07-18,8000,15900,1,3,2007,3,3,1.0
62,바로비젼,kosdaq,2007-07-20,8900,12000,1,3,2007,4,4,1.0
63,에코프로,kosdaq,2007-07-20,9000,16000,1,3,2007,5,5,1.0
64,아로마소프트,kosdaq,2007-07-25,8200,12900,1,3,2007,6,6,1.0
65,아구스,kosdaq,2007-07-27,14500,19850,1,3,2007,7,7,1.0
66,에스엔케이폴리텍,kosdaq,2007-07-30,8900,12500,1,3,2007,8,8,1.0
67,3노드디지탈,kosdaq,2007-08-17,2500,3000,1,3,2007,9,9,1.0
68,빅솔론,kosdaq,2007-08-20,10000,12000,1,3,2007,10,10,1.0
69,넥스지,kosdaq,2007-08-20,9600,12000,1,3,2007,11,11,1.0
70,웨이브일렉트로닉스,kosdaq,2007-09-12,10000,10100,1,3,2007,12,12,1.0
71,푸른기술,kosdaq,2007-09-14,12500,12500,-1,3,2007,11,13,1.0
72,연이정보통신,kosdaq,2007-09-19,4000,3670,-1,3,2007,10,14,1.0
73,옴니시스템,kosdaq,2007-09-19,6500,7160,1,3,2007,11,15,1.0
74,에스티엑스팬오션(유가),kospi,2007-09-21,1720,1775,1,3,2007,12,16,1.0
75,바이오톡스텍,kosdaq,2007-09-21,5500,7900,1,3,2007,13,17,1.0
76,네오티스,kosdaq,2007-10-01,11500,11500,-1,4,2007,-1,1,0.765
77,아이에스시테크놀러지,kosdaq,2007-10-01,21000,18900,-1,4,2007,-2,2,0.765
78,상보,kosdaq,2007-10-01,15000,16500,1,4,2007,-1,3,0.765
79,미래나노텍,kosdaq,2007-10-01,37000,38000,1,4,2007,0,4,0.765
80,오디텍,kosdaq,2007-10-08,10000,9320,-1,4,2007,-1,5,0.765
81,엘지에스,kosdaq,2007-10-12,11000,9900,-1,4,2007,-2,6,0.765
82,제이엠텔레콤,kosdaq,2007-10-12,5700,5700,-1,4,2007,-3,7,0.765
83,성우전자,kosdaq,2007-10-12,11000,9900,-1,4,2007,-4,8,0.765
84,에스에너지,kosdaq,2007-10-16,19000,38000,1,4,2007,-3,9,0.765
85,디아이씨(유가),kospi,2007-10-18,63000,61000,-1,4,2007,-4,10,0.765
86,다믈멀티미디어,kosdaq,2007-10-19,4500,5300,1,4,2007,-3,11,0.765
87,현우산업,kosdaq,2007-10-24,6800,6500,-1,4,2007,-4,12,0.765
88,효성ITX(유가),kospi,2007-10-25,5000,10000,1,4,2007,-3,13,0.765
89,KSS해운(유가),kospi,2007-10-26,65000,130000,1,4,2007,-2,14,0.765
90,이엘케이,kosdaq,2007-10-29,10000,9000,-1,4,2007,-3,15,0.765
91,이엠코리아,kosdaq,2007-10-29,8500,9390,1,4,2007,-2,16,0.765
92,기신정기(유가),kospi,2007-10-30,10000,14800,1,4,2007,-1,17,0.765
93,쉘라인(유가),kospi,2007-11-01,17400,15700,-1,4,2007,-2,18,0.765
94,비엠티,kosdaq,2007-11-02,8000,7200,-1,4,2007,-3,19,0.765
95,일진정공,kosdaq,2007-11-06,5200,10400,1,4,2007,-2,20,0.765
96,제이에스전선(유가),kospi,2007-11-12,24000,48000,1,4,2007,-1,21,0.765
97,씨모텍,kosdaq,2007-11-14,23000,25000,1,4,2007,0,22,0.765
98,디엔에프(유가),kospi,2007-11-16,12000,10800,-1,4,2007,-1,23,0.765
99,알에프세미,kosdaq,2007-11-20,4800,4600,-1,4,2007,-2,24,0.765
100,세실,kosdaq,2007-11-20,11000,9900,-1,4,2007,-3,25,0.765
101,화풍방직(유가),kospi,2007-11-26,5600,6300,1,4,2007,-2,26,0.765
102,성진지오텍(유가),kospi,2007-11-29,14000,13400,-1,4,2007,-3,27,0.765
103,위즈위드,kosdaq,2007-12-05,5200,5650,1,4,2007,-2,28,0.765
104,한전KPS(유가),kospi,2007-12-14,13300,17100,1,4,2007,-1,29,0.765
105,대창메탈,kosdaq,2007-12-17,6500,8500,1,4,2007,0,30,0.765
106,이씨에스텔레콤,kosdaq,2007-12-18,2500,3200,1,4,2007,1,31,0.765
107,서원인텍,kosdaq,2007-12-20,6000,5500,-1,4,2007,0,32,0.765
108,미성포리테크,kosdaq,2007-12-20,6300,5900,-1,4,2007,-1,33,0.765
109,쎄믹스,kosdaq,2007-12-26,3300,3900,1,4,2007,0,34,0.765
110,일신랩,kosdaq,2007-12-26,4500,6000,1,4,2007,1,35,0.765
111,에스맥,kosdaq,2008-01-23,3500,3410,-1,1,2008,-1,1,0.029
112,엔케이(유가),kospi,2008-01-24,10000,9000,-1,1,2008,-2,2,0.029
113,마이스코,kosdaq,2008-01-25,18000,18000,-1,1,2008,-3,3,0.029
114,네오엠텔,kosdaq,2008-01-25,8500,10000,1,1,2008,-2,4,0.029
115,코웰이홀딩스,kosdaq,2008-01-29,2000,1900,-1,1,2008,-3,5,0.029
116,넥실리온,kosdaq,2008-01-30,3500,4200,1,1,2008,-2,6,0.029
117,텔레필드,kosdaq,2008-02-01,5000,5000,-1,1,2008,-3,7,0.029
118,제너시스템즈,kosdaq,2008-03-26,3500,4700,1,1,2008,-2,8,0.029
119,네패스신소재,kosdaq,2008-04-04,4400,7650,1,2,2008,1,1,-0.25
120,효성오앤비,kosdaq,2008-04-08,7500,9950,1,2,2008,2,2,-0.25
121,메타바이오메드,kosdaq,2008-04-15,9000,12500,1,2,2008,3,3,-0.25
122,실리콘화일,kosdaq,2008-04-25,6000,6100,1,2,2008,4,4,-0.25
123,엘디티,kosdaq,2008-05-02,3800,7250,1,2,2008,5,5,-0.25
124,예스이십사,kosdaq,2008-05-07,6300,10000,1,2,2008,6,6,-0.25
125,우진비앤지,kosdaq,2008-05-20,4000,7700,1,2,2008,7,7,-0.25
126,테스,kosdaq,2008-05-20,34000,38500,1,2,2008,8,8,-0.25
127,세미텍,kosdaq,2008-05-23,5000,5710,1,2,2008,9,9,-0.25
128,제이씨엔터테인먼트,kosdaq,2008-05-30,10500,10500,-1,2,2008,8,10,-0.25
129,고영테크놀러지,kosdaq,2008-06-03,11500,10350,-1,2,2008,7,11,-0.25
130,브리지텍,kosdaq,2008-06-04,3100,3200,1,2,2008,8,12,-0.25
131,쎄트렉아이,kosdaq,2008-06-13,43000,48000,1,2,2008,9,13,-0.25
132,윌덱스,kosdaq,2008-06-19,10000,9000,-1,2,2008,8,14,-0.25
133,씨디아이홀딩스,kosdaq,2008-06-27,33000,35100,1,2,2008,9,15,-0.25
134,비유와상징(유가),kospi,2008-06-30,33000,29700,-1,2,2008,8,16,-0.25
135,서울옥션,kosdaq,2008-07-01,11000,9900,-1,3,2008,-1,1,0.5
136,이스트소프트,kosdaq,2008-07-01,9800,16000,1,3,2008,0,2,0.5
137,명문제약(유가),kospi,2008-07-10,6000,5400,-1,3,2008,-1,3,0.5
138,슈프리마,kosdaq,2008-07-11,27100,24400,-1,3,2008,-2,4,0.5
139,코리아에스이,kosdaq,2008-07-15,5500,6100,1,3,2008,-1,5,0.5
140,한텍엔지니어링,kosdaq,2008-07-18,8500,7900,-1,3,2008,-2,6,0.5
141,아이엠,kosdaq,2008-07-23,5000,5437,1,3,2008,-1,7,0.5
142,LG이노텍(유가),kospi,2008-07-24,40500,43000,1,3,2008,0,8,0.5
143,삼강엠앤티,kosdaq,2008-08-01,6500,8100,1,3,2008,1,9,0.5
144,케이제이프리텍,kosdaq,2008-09-18,3000,2800,-1,3,2008,0,10,0.5
145,마이크로컨텍솔루션,kosdaq,2008-09-23,2000,3500,1,3,2008,1,11,0.5
146,세운메디칼,kosdaq,2008-09-30,5600,9800,1,3,2008,2,12,0.5
147,사이버다임,kosdaq,2008-10-06,3100,4015,1,4,2008,1,1,0.167
148,심팩에이앤씨,kosdaq,2008-10-17,12000,10800,-1,4,2008,0,2,0.167
149,이크레더블,kosdaq,2008-10-24,18000,16200,-1,4,2008,-1,3,0.167
150,에너지솔루션즈,kosdaq,2008-11-25,3000,4210,1,4,2008,0,4,0.167
151,LG파워콤(유가),kospi,2008-11-27,5700,7000,1,4,2008,1,5,0.167
152,연합과기공고유한공사(유가),kospi,2008-12-04,2200,2600,1,4,2008,2,6,0.167
153,아이컴포넌트,kosdaq,2008-12-16,3500,4235,1,4,2008,3,7,0.167
154,엠게임,kosdaq,2008-12-19,10000,15000,1,4,2008,4,8,0.167
155,메디톡스,kosdaq,2009-01-16,14000,13500,-1,1,2009,-1,1,0.5
156,대성파인텍,kosdaq,2009-01-23,3500,4495,1,1,2009,0,2,0.5
157,유비쿼스,kosdaq,2009-01-23,6100,7000,1,1,2009,1,3,0.5
158,이수앱지스,kosdaq,2009-02-03,5500,8000,1,1,2009,2,4,0.5
159,중국식품포장유한공사,kosdaq,2009-03-27,1500,2260,1,1,2009,3,5,0.5
160,네오피델리티,kosdaq,2009-03-31,4500,9000,1,1,2009,4,6,0.5
161,코오롱생명과학,kosdaq,2009-04-07,23500,47000,1,2,2009,1,1,0.667
162,뷰웍스,kosdaq,2009-04-10,9000,18000,1,2,2009,2,2,0.667
163,에스앤에스텍,kosdaq,2009-04-14,4000,8000,1,2,2009,3,3,0.667
164,에스티오,kosdaq,2009-04-17,5000,10000,1,2,2009,4,4,0.667
165,엔에스브이,kosdaq,2009-04-17,4300,8600,1,2,2009,5,5,0.667
166,에이테크솔루션,kosdaq,2009-04-17,5400,10800,1,2,2009,6,6,0.667
167,티플랙스,kosdaq,2009-04-23,3000,6000,1,2,2009,7,7,0.667
168,네프로아이티,kosdaq,2009-04-24,4500,9000,1,2,2009,8,8,0.667
169,우림기계,kosdaq,2009-04-28,10000,16000,1,2,2009,9,9,0.667
170,신텍,kosdaq,2009-04-30,12500,25000,1,2,2009,10,10,0.667
171,흥국,kosdaq,2009-05-12,4200,8400,1,2,2009,11,11,0.667
172,STX엔파코(유가),kospi,2009-05-15,13000,26000,1,2,2009,12,12,0.667
173,서울마린,kosdaq,2009-05-19,10000,20000,1,2,2009,13,13,0.667
