,기업명,경쟁률,의무보유확약
0,에이치와이티씨,1480.78:1,6.08%
1,새빗켐,1670.90:1,37.70%
2,유안타스팩9호,,0.00%
3,수산인더스트리,130.37:1,18.94%
4,에이프릴바이오,14.43,10.66%
5,신한스팩10호,,0.00%
6,아이씨에이치,57.28:1,12.47%
7,성일하이텍,2269.68:1,38.66%
8,IBKS스팩18호,,0.00%
9,루닛,7.10,1.65%
10,대신밸런스12호스팩,,0.00%
11,에이치피에스피,1511.36:1,42.54%
12,영창케미칼,"1,616.27:1",5.92%
13,코난테크놀로지,1482.6:1,7.07%
14,삼성스팩6호,,0.00%
15,넥스트칩,1623.41:1,11.58%
16,NH스팩23호,,0.00%
17,위니아에이드,955:1,1.39%
18,레이저쎌,1442.95:1,12.43%
19,KB스팩21호,,0.00%
20,교보스팩12호,,0.00%
21,보로노이,28.35,0.00%
22,범한퓨얼셀,751.39:1,10.75%
23,비플라이소프트,111.05:1,0.76%
24,청담글로벌,24.79,16.47%
25,하나금융스팩22호,,0.00%
26,가온칩스,1847.12:1,14.70%
27,마스턴프리미어리츠,,0.00%
28,대명에너지,254.74:1,1.18%
29,상상인스팩3호,,0.00%
30,포바이포,1846.32,55.52%
31,신영스팩7호,,0.00%
32,신한스팩9호,,0.00%
33,미래에셋비전스팩1호,,0.00%
34,키움스팩6호,,0.00%
35,지투파워,1729.63:1,11.16%
36,유진스팩8호,,0.00%
37,세아메카닉스,1812.83:1,6.73%
38,공구우먼,56.9:1,2.65%
39,유일로보틱스,1756.45:1,15.92%
