,name,type,day,now_p,gongmo_p,sicho_p,first_p
0,쏘카(유가),kospi,20220818,53500,-,-,예정
1,에이치와이티씨,kosdaq,20220809,-,15000,-,예정
2,유안타스팩9호,kosdaq,20220804,-,2000,-,예정
3,새빗켐,kosdaq,20220804,-,35000,-,예정
4,수산인더스트리(유가),kospi,20220801,32500,35000,33000,32500
5,신한스팩10호,kosdaq,20220729,2145,2000,2150,2145
6,아이씨에이치,kosdaq,20220729,27250,34000,30600,27000
7,성일하이텍,kosdaq,20220728,94200,50000,99900,88200
8,에이프릴바이오,kosdaq,20220728,21000,16000,19500,21850
9,IBKS스팩18호,kosdaq,20220722,2145,2000,2185,2145
10,루닛,kosdaq,20220721,38950,30000,30800,40000
11,에이치피에스피,kosdaq,20220715,54900,25000,50000,43250
12,대신밸런스12호스팩,kosdaq,20220714,2135,2000,2170,2135
13,영창케미칼,kosdaq,20220714,15550,18600,18400,16450
14,코난테크놀로지,kosdaq,20220707,26000,25000,35300,30600
15,넥스트칩,kosdaq,20220701,12350,13000,17150,14300
16,삼성스팩6호,kosdaq,20220630,6220,2000,4000,5200
17,NH스팩23호,kosdaq,20220628,2115,2000,2085,2090
18,교보스팩12호,kosdaq,20220624,2110,2000,2075,2070
19,보로노이,kosdaq,20220624,38550,40000,36000,29350
20,레이저쎌,kosdaq,20220624,12400,16000,20600,17350
21,KB스팩21호,kosdaq,20220623,2100,2000,2100,2100
22,위니아에이드,kosdaq,20220623,9570,16200,14600,11000
23,비플라이소프트,kosdaq,20220620,2315,10000,10500,9050
24,범한퓨얼셀,kosdaq,20220617,29850,40000,41000,47950
25,청담글로벌,kosdaq,20220603,11650,6000,6500,7640
26,마스턴프리미어리츠(유가),kospi,20220531,5000,5000,5750,6010
27,하나금융스팩22호,kosdaq,20220526,2130,2000,2160,2155
28,가온칩스,kosdaq,20220520,26400,14000,24150,27100
29,대명에너지,kosdaq,20220516,19700,15000,15450,13950
30,상상인스팩3호,kosdaq,20220429,2105,2000,2155,2150
31,신영스팩7호,kosdaq,20220428,2140,2000,2295,2270
32,포바이포,kosdaq,20220428,21100,17000,34000,44200
33,신한스팩9호,kosdaq,20220427,2130,2000,2240,2255
34,미래에셋비전스팩1호,kosdaq,20220421,2125,2000,2270,2295
35,키움스팩6호,kosdaq,20220407,2225,2000,2180,2215
36,지투파워,kosdaq,20220401,52300,16400,32800,35250
37,유진스팩8호,kosdaq,20220331,2120,2000,2115,2110
38,코람코더원리츠(유가),kospi,20220328,5370,5000,5260,5410
39,세아메카닉스,kosdaq,20220324,7280,4400,8800,7600
