,name,type,day,gongmo_p,sicho_p
0,쏘카(유가),kospi,20220818,-,-
1,에이치와이티씨,kosdaq,20220809,15000,-
2,유안타스팩9호,kosdaq,20220804,2000,-
3,새빗켐,kosdaq,20220804,35000,-
4,수산인더스트리(유가),kospi,20220801,35000,33000
5,신한스팩10호,kosdaq,20220729,2000,2150
6,아이씨에이치,kosdaq,20220729,34000,30600
7,성일하이텍,kosdaq,20220728,50000,99900
8,에이프릴바이오,kosdaq,20220728,16000,19500
9,IBKS스팩18호,kosdaq,20220722,2000,2185
10,루닛,kosdaq,20220721,30000,30800
11,에이치피에스피,kosdaq,20220715,25000,50000
12,대신밸런스12호스팩,kosdaq,20220714,2000,2170
13,영창케미칼,kosdaq,20220714,18600,18400
14,코난테크놀로지,kosdaq,20220707,25000,35300
15,넥스트칩,kosdaq,20220701,13000,17150
16,삼성스팩6호,kosdaq,20220630,2000,4000
17,NH스팩23호,kosdaq,20220628,2000,2085
18,교보스팩12호,kosdaq,20220624,2000,2075
19,보로노이,kosdaq,20220624,40000,36000
20,레이저쎌,kosdaq,20220624,16000,20600
21,KB스팩21호,kosdaq,20220623,2000,2100
22,위니아에이드,kosdaq,20220623,16200,14600
23,비플라이소프트,kosdaq,20220620,10000,10500
24,범한퓨얼셀,kosdaq,20220617,40000,41000
25,청담글로벌,kosdaq,20220603,6000,6500
26,마스턴프리미어리츠(유가),kospi,20220531,5000,5750
27,하나금융스팩22호,kosdaq,20220526,2000,2160
28,가온칩스,kosdaq,20220520,14000,24150
29,대명에너지,kosdaq,20220516,15000,15450
30,상상인스팩3호,kosdaq,20220429,2000,2155
31,신영스팩7호,kosdaq,20220428,2000,2295
32,포바이포,kosdaq,20220428,17000,34000
33,신한스팩9호,kosdaq,20220427,2000,2240
34,미래에셋비전스팩1호,kosdaq,20220421,2000,2270
35,키움스팩6호,kosdaq,20220407,2000,2180
36,지투파워,kosdaq,20220401,16400,32800
37,유진스팩8호,kosdaq,20220331,2000,2115
38,코람코더원리츠(유가),kospi,20220328,5000,5260
39,세아메카닉스,kosdaq,20220324,4400,8800
40,공구우먼,kosdaq,20220323,20000,21600
41,유일로보틱스,kosdaq,20220318,10000,20000
42,모아데이타,kosdaq,20220310,20000,18000
43,SK증권스팩7호,kosdaq,20220307,2000,2135
44,노을,kosdaq,20220303,10000,9670
45,비씨엔씨,kosdaq,20220303,13000,26000
46,풍원정밀,kosdaq,20220228,15200,20200
47,스톤브릿지벤처스,kosdaq,20220225,8000,7200
48,하나금융스팩21호,kosdaq,20220225,2000,2080
49,브이씨,kosdaq,20220224,15000,17400
50,퓨런티어,kosdaq,20220223,15000,30000
51,바이오에프디엔씨,kosdaq,20220221,28000,25200
52,한국스팩10호,kosdaq,20220221,2000,2130
53,IBKS스팩17호,kosdaq,20220218,2000,2660
54,인카금융서비스,kosdaq,20220216,18000,17250
55,나래나노텍,kosdaq,20220208,17500,15750
56,아셈스,kosdaq,20220207,8000,16000
57,스코넥,kosdaq,20220204,13000,26000
58,이지트로닉스,kosdaq,20220204,22000,23450
59,LG에너지솔루션(유가),kospi,20220127,300000,597000
60,애드바이오텍,kosdaq,20220124,7000,6730
61,케이옥션,kosdaq,20220124,20000,40000
62,오토앤,kosdaq,20220120,5300,8800
63,디비금융스팩10호,kosdaq,20220120,2000,2075
64,래몽래인,kosdaq,20211230,15000,26000
65,하나금융스팩20호,kosdaq,20211227,2000,2130
66,NH스팩22호,kosdaq,20211224,2000,2090
67,하이스팩7호,kosdaq,20211220,2000,2060
68,교보스팩11호,kosdaq,20211220,2000,2065
69,케이티비네트워크,kosdaq,20211216,5800,6030
70,신한서부티엔디리츠(유가),kospi,20211210,5000,4805
71,툴젠,kosdaq,20211210,70000,82300
72,미래에셋글로벌리츠(유가),kospi,20211203,5000,5310
73,대신밸런스스팩11호,kosdaq,20211202,2000,2060
74,마인즈랩,kosdaq,20211123,30000,29650
75,알비더블유,kosdaq,20211122,21400,42800
76,바이옵트로,kosdaq,20211118,7500,7300
77,NH올원리츠(유가),kospi,20211118,5000,5490
78,트윔,kosdaq,20211117,22000,44000
79,지오엘리먼트,kosdaq,20211111,10000,20000
80,아이티아이즈,kosdaq,20211111,14300,28600
81,비트나인,kosdaq,20211110,11000,15250
82,디어유,kosdaq,20211110,26000,52000
83,지니너스,kosdaq,20211108,20000,18000
84,카카오페이(유가),kospi,20211103,90000,180000
85,피코그램,kosdaq,20211103,12500,25000
86,엔켐,kosdaq,20211101,42000,81600
87,리파인,kosdaq,20211029,21000,18900
88,지앤비에스엔지니어링,kosdaq,20211029,17400,24000
89,아이패밀리에스씨,kosdaq,20211028,25000,28650
90,차백신연구소,kosdaq,20211022,11000,11700
91,지아이텍,kosdaq,20211021,14000,28000
92,NH스팩21호,kosdaq,20211015,2000,2075
93,케이카(유가),kospi,20211013,25000,22500
94,씨유테크,kosdaq,20211008,6000,12000
95,원준,kosdaq,20211007,65000,102000
96,하나금융스팩19호,kosdaq,20211007,2000,2045
97,아스플로,kosdaq,20211007,25000,36000
98,NH스팩20호,kosdaq,20211005,2000,2030
99,에스앤디,kosdaq,20210929,28000,25200
100,실리콘투,kosdaq,20210929,27200,38500
101,프롬바이오,kosdaq,20210928,18000,19250
102,신한스팩8호,kosdaq,20210927,2000,2100
103,바이오플러스,kosdaq,20210927,31500,39500
104,대신밸런스스팩10호,kosdaq,20210917,2000,2305
105,현대중공업(유가),kospi,20210917,60000,111000
106,SK리츠(유가),kospi,20210914,5000,5340
107,유진스팩7호,kosdaq,20210913,2000,4000
108,와이엠텍,kosdaq,20210910,28000,56000
109,에이비온,kosdaq,20210908,17000,16800
110,IBKS스팩16호,kosdaq,20210903,2000,4000
111,일진하이솔루스(유가),kospi,20210901,34300,68600
112,디앤디플랫폼리츠,kosdaq,20210827,5000,5390
113,바이젠셀,kosdaq,20210825,52700,73500
114,아주스틸(유가),kospi,20210820,15100,30200
115,브레인즈컴퍼니,kosdaq,20210819,25000,50000
116,롯데렌탈(유가),kospi,20210819,59000,57500
117,딥노이드,kosdaq,20210817,42000,72000
118,한컴라이프케어(유가),kospi,20210817,13700,16050
119,엠로,kosdaq,20210813,22600,32700
120,플래티어,kosdaq,20210812,11000,22000
121,원티드랩,kosdaq,20210811,35000,70000
122,크래프톤(유가),kospi,20210810,498000,448500
123,에이치케이이노엔,kosdaq,20210809,59000,68100
124,카카오뱅크(유가),kospi,20210806,39000,53700
125,한화플러스스팩2호,kosdaq,20210805,2000,4000
126,에브리봇,kosdaq,20210728,36700,33050
127,맥스트,kosdaq,20210727,15000,30000
128,큐라클,kosdaq,20210722,25000,36500
129,에스디바이오센서(유가),kospi,20210716,52000,57000
130,오비고,kosdaq,20210713,14300,19200
131,아모센스,kosdaq,20210625,12400,12250
132,이노뎁,kosdaq,20210618,18000,22200
133,삼성머스트스팩5호,kosdaq,20210617,2000,4000
134,라온테크,kosdaq,20210617,18000,20250
135,엘비루셈,kosdaq,20210611,14000,18000
136,에이디엠코리아,kosdaq,20210603,3800,7600
137,제주맥주,kosdaq,20210526,3200,4780
138,진시스템,kosdaq,20210526,20000,19100
139,삼영에스앤씨,kosdaq,20210521,11000,22000
140,삼성스팩4호,kosdaq,20210521,2000,2070
141,NH스팩19호(유가),kospi,20210521,2000,2075
142,샘씨엔에스,kosdaq,20210520,6500,6400
143,씨앤씨인터내셔널,kosdaq,20210517,47500,47250
144,에이치피오,kosdaq,20210514,22200,20000
145,SK아이이테크놀로지(유가),kospi,20210511,105000,210000
146,하이스팩6호,kosdaq,20210510,2000,2060
147,쿠콘,kosdaq,20210428,45000,80000
148,해성티피씨,kosdaq,20210421,13000,26000
