기업명,매출액(백만원),순이익(백만원),구주매출,희망공모가(최저),희망공모가(최고),청약경쟁률(:1),확정공모가(원),경쟁률(:1),의무보유확약(:1),시초/공모%(수익률),공모가(원),시초가(원),상장일
에이치피에스피,"61,174","17,658",1,"  23,000 ~ 25,000 ","  23,000 ~ 25,000 ",1159.05,"25,000",1511.36,42.54,100,25000,50000,20220715
영창케미칼,"60,760","2,506",0.83,"  15,000 ~ 18,600 ","  15,000 ~ 18,600 ",682.13,"18,600",1616.27,5.92,-1.08,18600,18400,20220714
넥스트칩,"10,383","-13,496",1,"  9,900 ~ 11,600 ","  9,900 ~ 11,600 ",1727.38,"13,000",1623.41,11.58,31.92,13000,17150,20220701
위니아에이드,"418,527","24,895",1,"  14,200 ~ 16,200 ","  14,200 ~ 16,200 ",111.26,"16,200",955,1.39,-9.88,16200,14600,20220623
레이저쎌,"3,879","-7,665",1,"  12,000 ~ 14,000 ","  12,000 ~ 14,000 ",1845.11,"16,000",1442.95,12.43,28.75,16000,20600,20220624
범한퓨얼셀,"31,900","3,457",1,"  32,200 ~ 40,000 ","  32,200 ~ 40,000 ",710.37,"40,000",751.39,10.75,2.5,40000,41000,20220617
비플라이소프트,"24,386","-3,424",0.9,"  16,500 ~ 19,000 ","  16,500 ~ 19,000 ",26.86,"10,000",111.05,0.76,5,10000,10500,20220620
청담글로벌,"70,387",849,0.92,"  8,400 ~ 9,600 ","  8,400 ~ 9,600 ",42.1,"6,000",24.79,16.47,8.33,6000,6500,20220603
가온칩스,"17,098","1,852",1,"  11,000 ~ 13,000 ","  11,000 ~ 13,000 ",2183.29,"14,000",1847.12,14.7,72.5,14000,24150,20220520
대명에너지,"159,386","8,132",0.8,"  15,000 ~ 18,000 ","  15,000 ~ 18,000 ",151.58,"15,000",254.74,1.18,3,15000,15450,20220516
포바이포,"13,993","1,354",0.89,"  11,000 ~ 14,000 ","  11,000 ~ 14,000 ",3763.37,"17,000",1846.32,55.52,100,17000,34000,20220428
지투파워,"29,135","2,162",0.83,"  13,500 ~ 16,400 ","  13,500 ~ 16,400 ",2029.37,"16,400",1729.63,11.16,100,16400,32800,20220401
세아메카닉스,"82,695","4,254",0.67,"  3,500 ~ 4,000 ","  3,500 ~ 4,000 ",2475.87,"4,400",1812.83,6.73,100,4400,8800,20220324
공구우먼,"32,683","4,346",1,"  26,000 ~ 31,000 ","  26,000 ~ 31,000 ",7.53,"20,000",56.9,2.65,8,20000,21600,20220323
유일로보틱스,"27,952","2,505",1,"  7,600 ~ 9,200 ","  7,600 ~ 9,200 ",2535.3,"10,000",1756.45,15.92,100,10000,20000,20220318
모아데이타,"13,785","2,093",1,"  24,000 ~ 28,000 ","  24,000 ~ 28,000 ",23.39,"20,000",114.19,0.87,-10,20000,18000,20220310
비씨엔씨,"47,343","2,011",1,"  9,000 ~ 11,500 ","  9,000 ~ 11,500 ",2686.22,"13,000",1831.23,22.84,100,13000,26000,20220303
브이씨,"35,364","4,513",1,"  15,000 ~ 19,500 ","  15,000 ~ 19,500 ",46.41,"15,000",190.59,19.93,16,15000,17400,20220224
풍정밀,"37,117",592,1,"  13,200 ~ 15,200 ","  13,200 ~ 15,200 ",2235.98,"15,200",1556.53,11,32.89,15200,20200,20220228
퓨런티어,"15,082","-2,180",1,"  11,400 ~ 13,700 ","  11,400 ~ 13,700 ",2683,"15,000",1535.42,11.08,100,15000,30000,20220223
바이오에프디엔씨,"8,640","2,461",1,"  23,000 ~ 29,000 ","  23,000 ~ 29,000 ",4.74,"28,000",74.01,11.8,-10,28000,25200,20220221
인카금융서비스,"301,025","11,288",0.68,"  23,000 ~ 27,000 ","  23,000 ~ 27,000 ",25.29,"18,000",13.69,4.19,-4.17,18000,17250,20220216
나래나노텍,"82,805","2,273",0.77,"  17,500 ~ 20,500 ","  17,500 ~ 20,500 ",24.36,"17,500",102,0.97,-10,17500,15750,20220208
아셈스,"34,049","1,052",1,"  7,000 ~ 8,000 ","  7,000 ~ 8,000 ",2435.07,"8,000",1618.26,7.71,100,8000,16000,20220207
스코넥,"4,558","-8,971",1,"  9,000 ~ 12,000 ","  9,000 ~ 12,000 ",1751.25,"13,000",1724.66,59.95,100,13000,26000,20220204
이지트로닉스,"15,349","3,552",1,"  19,000 ~ 22,000 ","  19,000 ~ 22,000 ",887.4,"22,000",1343.51,2.94,6.59,22000,23450,20220204
케이옥션,"24,192","-2,088",0.8,"  17,000 ~ 20,000 ","  17,000 ~ 20,000 ",1408.33,"20,000",1638.36,36.8,100,20000,40000,20220124
오토앤,"49,437","3,444",1,"  4,200 ~ 4,800 ","  4,200 ~ 4,800 ",2395.63,"5,300",1713,8.34,66.04,5300,8800,20220120
래몽래인,"34,650","3,153",1,"  11,500 ~ 13,000 ","  11,500 ~ 13,000 ",2054.63,"15,000",1545.68,17.75,73.33,15000,26000,20211230
케이티비네트워크,"66,974","35,765",1,"  5,800 ~ 7,200 ","  5,800 ~ 7,200 ",327.26,"5,800",50.19,6.94,3.97,5800,6030,20211216
툴젠,713,"-14,882",1,"  100,000 ~ 120,000 ","  100,000 ~ 120,000 ",164.13,"70,000",29.54,0.1,17.57,70000,82300,20211210
마인즈랩,"11,292","-20,386",1,"  26,000 ~ 30,000 ","  26,000 ~ 30,000 ",89.9,"30,000",197.55,19.74,-1.17,30000,29650,20211123
알비더블유,"37,277","3,719",0.62,"  18,700 ~ 21,400 ","  18,700 ~ 21,400 ",3706.79,"21,400",1719.61,15.98,100,21400,42800,20211122
