,cor_name,title,label
0,세아메카닉스,"“세아메카닉스, 포트폴리오 확대 및 고객다변화로 외형성장 기대”",positive
1,영창케미칼,"IPO 시장 찬바람에도… 영창케미칼, 공모가 상단 1만8600원 확정",positive
2,영창케미칼,"[시그널] 영창케미칼, 수요예측 경쟁률 1616 대 1 '흥행'",positive
3,영창케미칼,"반도체 종목 '공모주 흥행' 되살릴까, 다음주 영창케미칼 HPSP 기대",positive
4,영창케미칼,"영창케미칼, 공모가 1만8600원 확정…1616대 1 경쟁률 기록",neutral
5,영창케미칼,7월 공모주 뭘 담을까…반도체 ‘소부장’ 온다,neutral
6,영창케미칼,"[위클리 마켓] 루닛·성일하이텍, IPO 수요예측 돌입",neutral
8,영창케미칼,[7월2일자] 비즈니스포스트 아침의 주요기사,neutral
10,지투파워,"지투파워, 청약 경쟁률 2029.37대 1 기록",neutral
11,지투파워,지투파워 IPO 흥행…청약 경쟁률 2029.37대 1,positive
12,지투파워,"지투파워, 청약경쟁률 2029대 1…내달 1일 코스닥 상장",neutral
14,지투파워,"지투파워, 청약 경쟁률 2029.37대 1 기록…내달 1일 코스닥 상장",neutral
15,지투파워,"지투파워, 청약 경쟁률 2029.37대 1···내달 1일 코스닥 상장",neutral
16,지투파워,"지투파워, 청약 경쟁률 2029대 1 기록…내달 1일 코스닥 상장",neutral
17,지투파워,"[증권소식] 박용만 3부자, 두산 지분 전량 처분/사업보고서 제출 늦어진 23개...",neutral
18,지투파워,"[더벨][IPO 모니터]지투파워, 공모가 최상단…98.3%가 밴드 이상 입찰",positive
19,지투파워,‘유니콘 1호’도 상장 철회...증시 침체에 IPO 꽁꽁,negative
20,영창케미칼,"7월 IPO 시장, 청약 열기 뜨거운 소부장·인공지능 ‘입성’ [IPO 프리보드]",neutral
21,영창케미칼,바이오·플랫폼 떠난 IPO시장··· '소부장' 기업이 채운다,neutral
22,영창케미칼,"영창케미칼, 반도체 업종 중 성장 기대주 - FS리서치",positive
23,영창케미칼,"“영창케미칼, EUV Rinse 포토레지스트 의 지속 성장 전망”",positive
24,영창케미칼,[시그널] 반도체 장비부터 로봇 제어까지…'소부장' 기업 IPO 러쉬,neutral
25,영창케미칼,"영창케미칼·HPSP, 일반 청약 받는다",neutral
26,영창케미칼,"이번주 눈여겨볼 공모주는? 루닛 수요예측, 영창케미칼·HPSP 청약",neutral
27,영창케미칼,"영창케미칼, EUV 린스 국산화로 ‘독점’ 독일 머크에 도전장",neutral
28,영창케미칼,먹구름 자욱한 증시…삼성전자 '6만전자' 멀어지나,negative
31,영창케미칼,"'소재·부품·장비' 공모, 7월에도 흥행 이어가나…IPO 10건 출격 준비",positive
33,넥스트칩,"[시그널] 넥스트칩, 청약 경쟁률 1700대 1…'소부장 공모주' 흥행 지속",positive
34,넥스트칩,"넥스트칩, IPO 흥행…청약 경쟁률 3455대 1",positive
35,넥스트칩,"[IPO 기업분석]자율주행차 수혜주 넥스트칩, 일반청약도 흥행 성공할까",positive
36,넥스트칩,"넥스트칩, 공모 청약 경쟁률 1728대 1…증거금 7.3조 몰려",neutral
