기업명,점수,합계,총점
가온칩스,1,39,0.026
고바이오랩,-1,42,-0.024
공구우먼,0,31,0.0
그린플러스,6,32,0.188
까스텔바쟉,0,37,0.0
나노씨엠에스,5,20,0.25
나래나노텍,8,34,0.235
나무가,-1,80,-0.012
남화산업,-1,10,-0.1
네오오토,0,9,0.0
네오펙트,1,38,0.026
네패스아크,-1,24,-0.042
넥스트엔터테인먼트월드,1,51,0.02
넥스트칩,4,56,0.071
넥스틴,-1,20,-0.05
노랑풍선,8,56,0.143
노바렉스,-1,43,-0.023
노바텍,3,35,0.086
노터스,10,30,0.333
녹십자랩셀,5,55,0.091
녹십자웰빙,12,45,0.267
뉴트리바이오텍,8,39,0.205
뉴파워프라즈마,-3,20,-0.15
대명에너지,-5,35,-0.143
대보마그네틱,6,27,0.222
대원,-7,80,-0.088
더네이쳐홀딩스,1,29,0.034
더블유게임즈,7,41,0.171
덕산테코피아,1,36,0.028
덕신하우징,12,41,0.293
덕우전자,7,24,0.292
데브시스터즈,-6,49,-0.122
데이타솔루션,5,45,0.111
덱스터,2,54,0.037
동구바이오제약,1,55,0.018
동운아나텍,3,33,0.091
드림씨아이에스,7,36,0.194
디아이티,0,23,0.0
디알젬,5,27,0.185
디앤씨미디어,1,40,0.025
디어유,16,60,0.267
디에이테크놀로지,3,16,0.188
디자인,0,80,0.0
디지캡,4,28,0.143
디케이티,0,11,0.0
딥노이드,6,53,0.113
라온테크,5,29,0.172
라온피플,10,29,0.345
라이프시맨틱스,9,46,0.196
래몽래인,7,69,0.101
레몬,-5,71,-0.07
레이,-1,79,-0.013
레이언스,0,22,0.0
레이저쎌,2,54,0.037
레인보우로보틱스,12,51,0.235
로고스바이오시스템스,2,16,0.125
로보티즈,4,54,0.074
로지시스,-1,17,-0.059
리드,13,80,0.162
리파인,-1,32,-0.031
린드먼아시아인베스트먼트,1,21,0.048
링크제니시스,8,29,0.276
마이크로디지탈,0,24,0.0
마인즈랩,-1,43,-0.023
마크로밀엠브레인,4,26,0.154
매직마이크로,3,22,0.136
맥스트,6,44,0.136
머큐리,3,79,0.038
메가엠디,-3,18,-0.167
메카로,20,76,0.263
메탈라이프,3,29,0.103
명성티엔에스,0,19,0.0
모바일어플라이언스,0,28,0.0
모비릭스,12,49,0.245
모아데이타,-8,32,-0.25
모트렉스,3,32,0.094
미디어젠,7,23,0.304
미래에셋벤처투자,4,51,0.078
미래테크놀로지,2,59,0.034
미코바이오메드,-9,46,-0.196
민앤지,-2,36,-0.056
바이브컴퍼니,-2,54,-0.037
바이오다인,3,31,0.097
바이오리더스,4,37,0.108
바이오솔루션,-4,35,-0.114
바이오에프디엔씨,-3,28,-0.107
바이오플러스,1,49,0.02
바이옵트로,2,34,0.059
배럴,-41,79,-0.519
범한퓨얼셀,8,45,0.178
보라티알,-1,18,-0.056
뷰노,4,38,0.105
브레인즈컴퍼니,3,48,0.062
브이씨,2,52,0.038
브이원텍,5,25,0.2
비나텍,-3,29,-0.103
비비씨,8,40,0.2
비씨엔씨,5,75,0.067
비씨월드제약,6,38,0.158
비즈니스온커뮤니케이션,3,25,0.12
비트나인,6,33,0.182
비플라이소프트,-4,48,-0.083
삼양옵틱스,2,38,0.053
삼영에스앤씨,1,21,0.048
샘씨엔에스,9,46,0.196
샘코,5,33,0.152
서남,-5,73,-0.068
서울바이오시스,-1,24,-0.042
서진시스템,3,18,0.167
서플러스글로벌,-2,33,-0.061
석경에이티,4,44,0.091
선진뷰티사이언스,-1,42,-0.024
세미콘라이트,9,23,0.391
세아메카닉스,2,33,0.061
세종메디칼,-1,29,-0.034
세틀뱅크,6,41,0.146
센코,2,40,0.05
셀레믹스,2,29,0.069
셀리버리,2,43,0.047
셀트리온헬스케어,-7,64,-0.109
소룩스,12,29,0.414
솔트룩스,2,49,0.041
수젠텍,7,35,0.2
슈프리마아이디,1,24,0.042
슈피겐코리아,5,38,0.132
스코넥,2,40,0.05
시스웍,4,25,0.16
신도기연,-3,43,-0.07
신신제약,1,28,0.036
신테카바이오,5,49,0.102
신화콘텍,5,24,0.208
신흥에스이씨,0,33,0.0
실리콘투,-3,45,-0.067
싸이맥스,1,24,0.042
싸이버원,2,35,0.057
싸이토젠,-1,28,-0.036
씨앤씨인터내셔널,5,24,0.208
씨앤투스성진,3,38,0.079
씨에스베어링,5,32,0.156
씨엠에스에듀,2,16,0.125
씨유테크,3,58,0.052
씨이랩,0,27,0.0
씨트리,0,32,0.0
씨티케이코스메틱스,6,36,0.167
아모그린텍,3,25,0.12
아모센스,-1,31,-0.032
아셈스,8,37,0.216
아스트,-6,45,-0.133
아스플로,2,21,0.095
아시아경제신문사,0,7,0.0
아시아종묘,2,34,0.059
아이디피,4,27,0.148
아이스크림에듀,3,36,0.083
아이쓰리시스템,3,44,0.068
