,,,,,,,,,,,,
회사명,종목코드,사업연도,결산월,업종,업종별,주식배당,현금배당,,,,,
,,,,,배당율,(배당기준일),액면가,기말주식수,주당배당금,배당성향,총배당금액,시가배당률
3S,060310,2021,03,기계·장비,0.5,-,500,"45,211,895",-,-,-,-
AJ네트웍스,095570,2021,12,서비스업,0.43,-,"1,000","46,822,295",270,15.752,"12,087,310,320",5.000
AK홀딩스,006840,2021,12,금융업,2.61,-,"5,000","13,247,561",200,-1.309,"2,609,099,000",1.010
APS홀딩스,054620,2021,12,금융,1.34,-,500,"20,394,221",100,7.799,"1,839,385,200",0.800
AP시스템,265520,2021,12,반도체,0.42,-,500,"15,281,421",240,6.325,"3,615,872,160",0.900
AP위성,211270,2021,12,통신장비,0.28,-,500,"15,082,304",70,53.203 *,"745,375,120",0.500
BGF,027410,2021,12,금융업,2.61,-,"1,000","95,716,791",110,29.263,"10,527,964,370",2.100
BGF리테일,282330,2021,12,유통업,1.59,-,"1,000","17,283,906","3,000",35.102,"51,825,045,000",2.000
BNGT,032790,2021,12,정보기기,0.73,-,500,"29,534,345",-,-,-,-
BNK금융지주,138930,2021,12,금융업,2.61,-,"5,000","325,935,246",560,21.778,"181,681,734,640",6.300
BYC,001460,2021,12,섬유의복,0.53,-,"5,000","624,615","1,500",4.228,"1,262,387,250",0.320
CBI,013720,2021,12,운송장비·부품,0.36,-,100,"52,809,535",-,-,-,-
CJ,001040,2021,12,금융업,2.61,-,"5,000","29,176,998","2,300",9.571,"77,234,117,150",2.700
CJ CGV,079160,2021,12,서비스업,0.43,-,500,"37,953,412",-,-,-,-
CJ ENM,035760,2021,12,방송서비스,0.89,-,"5,000","21,929,154","2,100",19.130,"43,532,199,900",1.500
CJ 바이오사이언스,311690,2021,12,기타서비스,0.5,-,500,"5,873,672",-,-,-,-
CJ대한통운,000120,2021,12,운수창고업,0.4,-,"5,000","22,812,344",-,-,-,-
CJ씨푸드,011150,2021,12,음식료품,1.34,-,500,"35,930,773",-,-,-,-
CJ제일제당,097950,2021,12,음식료품,1.34,-,"5,000","15,054,186","5,000",8.985,"80,182,250,200",1.300
CJ프레시웨이,051500,2021,12,유통,0.36,-,"1,000","11,871,586",300,11.450,"3,561,475,800",1.040
CMG제약,058820,2021,12,제약,0.3,-,500,"138,892,244",-,-,-,-
CNH,023460,2021,12,금융,1.34,-,"2,500","37,200,000",20,66.417,"692,068,000",0.800
CNT85,056730,2021,12,유통,0.36,-,500,"70,703,912",-,-,-,-
CS,065770,2021,12,통신장비,0.28,-,500,"19,411,130",-,-,-,-
CSA 코스믹,083660,2021,12,화학,0.41,-,500,"37,934,114",-,-,-,-
CS홀딩스,000590,2021,12,금융업,2.61,-,"5,000","1,154,482",500,2.696,"567,910,500",0.800
DB,012030,2021,12,서비스업,0.43,-,500,"201,173,933",-,-,-,-
DB금융스팩8호,367340,2021,12,금융,1.34,-,100,"6,050,000",-,-,-,-
DB금융스팩9호,367360,2021,12,금융,1.34,-,100,"4,840,000",-,-,-,-
DB금융투자,016610,2021,12,증권,3.64,-,"5,000","42,446,389",500,16.334,"20,714,444,500",7.400
DB손해보험,005830,2021,12,보험,3.28,-,500,"70,800,000","3,500",24.075,"210,152,141,500",6.000
DB하이텍,000990,2021,12,전기전자,2.7,-,"5,000","44,398,588",450,6.173,"19,562,638,100",0.630
DGB금융지주,139130,2021,12,금융업,2.61,-,"5,000","169,145,833",630,19.242,"106,561,874,160",6.400
DL,000210,2021,12,금융업,2.61,-,"5,000","20,955,884","1,900",4.920,"43,052,331,400",3.000
DL건설,001880,2021,12,건설업,1.63,-,"5,000","22,053,284",750,10.274 *,"18,037,171,670",2.800
DL이앤씨,375500,2021,12,건설업,1.63,-,"5,000","19,358,738","2,700",9.124,"58,012,054,750",2.200
