,기업명,매출액(백만원),순이익(백만원),구주매출,청약경쟁률(:1),확정공모가(원),경쟁률(:1),의무보유확약(:1),시초/공모%(수익률),동향,점수,합계,총점,시장 종류,상장일,현재가,공모가(원),시초가(원),종가,희망공모가(최저),희망공모가(최고)
0,에이치피에스피,61174.0,17658.0,1.0,1159.05,25000,1511.36,42.54,100.0,0.75,3,28,0.1071428571428571,kosdaq,20220715,52700,25000,50000,43250,23000.0,25000.0
1,영창케미칼,60760.0,2506.0,0.8300000000000001,682.13,18600,1616.27,5.92,-1.08,0.67,12,45,0.2666666666666666,kosdaq,20220714,14250,18600,18400,16450,15000.0,18600.0
2,넥스트칩,10383.0,-13496.0,1.0,1727.38,13000,1623.41,11.58,31.92,1.0,4,56,0.0714285714285714,kosdaq,20220701,12000,13000,17150,14300,9900.0,11600.0
3,위니아에이드,418527.0,24895.0,1.0,111.26,16200,955.0,1.39,-9.88,0.88,0,59,0.0,kosdaq,20220623,9330,16200,14600,11000,14200.0,16200.0
4,레이저쎌,3879.0,-7665.0,1.0,1845.11,16000,1442.95,12.43,28.75,0.89,2,54,0.037037037037037,kosdaq,20220624,12400,16000,20600,17350,12000.0,14000.0
5,범한퓨얼셀,31900.0,3457.0,1.0,710.37,40000,751.39,10.75,2.5,1.0,8,45,0.1777777777777777,kosdaq,20220617,30200,40000,41000,47950,32200.0,40000.0
6,비플라이소프트,24386.0,-3424.0,0.9,26.86,10000,111.05,0.76,5.0,1.0,-4,48,-0.0833333333333333,kosdaq,20220620,2140,10000,10500,9050,16500.0,19000.0
7,청담글로벌,70387.0,849.0,0.91,42.1,6000,24.79,16.47,8.33,1.0,-1,39,-0.0256410256410256,kosdaq,20220603,11300,6000,6500,7640,8400.0,9600.0
8,가온칩스,17098.0,1852.0,1.0,2183.29,14000,1847.12,14.7,72.5,1.0,1,39,0.0256410256410256,kosdaq,20220520,26500,14000,24150,27100,11000.0,13000.0
9,대명에너지,159386.0,8132.0,0.8,151.58,15000,254.74,1.18,3.0,1.0,-5,35,-0.1428571428571428,kosdaq,20220516,18550,15000,15450,13950,15000.0,18000.0
10,포바이포,13993.0,1354.0,0.89,3763.37,17000,1846.32,55.52,100.0,1.0,14,51,0.2745098039215686,kosdaq,20220428,21600,17000,34000,44200,11000.0,14000.0
11,지투파워,29135.0,2162.0,0.8300000000000001,2029.37,16400,1729.63,11.16,100.0,1.0,3,50,0.06,kosdaq,20220401,47650,16400,32800,35250,13500.0,16400.0
12,세아메카닉스,82695.0,4254.0,0.66,2475.87,4400,1812.83,6.73,100.0,0.65,2,33,0.0606060606060606,kosdaq,20220324,7820,4400,8800,7600,3500.0,4000.0
13,공구우먼,32683.0,4346.0,1.0,7.53,20000,56.9,2.65,8.0,0.63,0,31,0.0,kosdaq,20220323,11850,20000,21600,20000,26000.0,31000.0
14,유일로보틱스,27952.0,2505.0,1.0,2535.3,10000,1756.45,15.92,100.0,0.61,2,34,0.0588235294117647,kosdaq,20220318,32350,10000,20000,26000,7600.0,9200.0
15,모아데이타,13785.0,2093.0,1.0,23.39,20000,114.19,0.87,-10.0,0.59,-8,32,-0.25,kosdaq,20220310,4080,20000,18000,16050,24000.0,28000.0
16,비씨엔씨,47343.0,2011.0,1.0,2686.22,13000,1831.23,22.84,100.0,0.67,5,75,0.0666666666666666,kosdaq,20220303,18300,13000,26000,22600,9000.0,11500.0
17,브이씨,35364.0,4513.0,1.0,46.41,15000,190.59,19.93,16.0,0.67,2,52,0.0384615384615384,kosdaq,20220224,11000,15000,17400,15350,15000.0,19500.0
18,풍정밀,37117.0,592.0,1.0,2235.98,15200,1556.53,11.0,32.89,0.64,16,46,0.3478260869565217,kosdaq,20220228,14650,15200,20200,21450,13200.0,15200.0
19,퓨런티어,15082.0,-2180.0,1.0,2683.0,15000,1535.42,11.08,100.0,0.64,6,49,0.1224489795918367,kosdaq,20220223,27600,15000,30000,31200,11400.0,13700.0
20,바이오에프디엔씨,8640.0,2461.0,1.0,4.74,28000,74.01,11.8,-10.0,0.6,-3,28,-0.1071428571428571,kosdaq,20220221,23050,28000,25200,22200,23000.0,29000.0
21,인카금융서비스,301025.0,11288.0,0.68,25.29,18000,13.69,4.19,-4.17,0.67,6,34,0.1764705882352941,kosdaq,20220216,7360,18000,17250,14400,23000.0,27000.0
22,나래나노텍,82805.0,2273.0,0.77,24.36,17500,102.0,0.97,-10.0,0.75,8,34,0.2352941176470588,kosdaq,20220208,9470,17500,15750,13900,17500.0,20500.0
23,아셈스,34049.0,1052.0,1.0,2435.07,8000,1618.26,7.71,100.0,0.86,8,37,0.2162162162162162,kosdaq,20220207,15150,8000,16000,13500,7000.0,8000.0
24,스코넥,4558.0,-8971.0,1.0,1751.25,13000,1724.66,59.95,100.0,0.83,2,40,0.05,kosdaq,20220204,13700,13000,26000,24450,9000.0,12000.0
25,이지트로닉스,15349.0,3552.0,1.0,887.4,22000,1343.51,2.94,6.59,0.8,-1,30,-0.0333333333333333,kosdaq,20220204,15000,22000,23450,25500,19000.0,22000.0
26,케이옥션,24192.0,-2088.0,0.8,1408.33,20000,1638.36,36.8,100.0,1.0,1,62,0.0161290322580645,kosdaq,20220124,7350,20000,40000,52000,17000.0,20000.0
27,오토앤,49437.0,3444.0,1.0,2395.63,5300,1713.0,8.34,66.04,1.0,3,41,0.073170731707317,kosdaq,20220120,13500,5300,8800,11400,4200.0,4800.0
28,래몽래인,34650.0,3153.0,1.0,2054.63,15000,1545.68,17.75,73.33,0.79,7,69,0.1014492753623188,kosdaq,20211230,19600,15000,26000,24000,11500.0,13000.0
29,케이티비네트워크,66974.0,35765.0,1.0,327.26,5800,50.19,6.94,3.97,0.78,1,7,0.1428571428571428,kosdaq,20211216,3295,5800,6030,5350,5800.0,7200.0
30,툴젠,713.0,-14882.0,1.0,164.13,70000,29.54,0.1,17.57,0.77,4,58,0.0689655172413793,kosdaq,20211210,70700,70000,82300,91100,100000.0,120000.0
31,마인즈랩,11292.0,-20386.0,1.0,89.9,30000,197.55,19.74,-1.17,0.76,-1,43,-0.0232558139534883,kosdaq,20211123,18050,30000,29650,38000,26000.0,30000.0
32,알비더블유,37277.0,3719.0,0.62,3706.79,21400,1719.61,15.98,100.0,0.8,4,43,0.0930232558139534,kosdaq,20211122,18700,21400,42800,38950,18700.0,21400.0
33,바이옵트로,16115.0,2235.0,1.0,68.11,7500,205.12,0.98,-2.67,0.79,2,34,0.0588235294117647,kosdaq,20211118,6900,7500,7300,6290,7500.0,8500.0
34,트윔,18260.0,2916.0,1.0,2266.84,22000,1627.34,9.2,100.0,0.83,4,37,0.1081081081081081,kosdaq,20211117,19100,22000,44000,41100,17800.0,20400.0
35,지오엘리먼트,13180.0,2457.0,1.0,1537.44,10000,1613.84,15.23,100.0,0.82,5,40,0.125,kosdaq,20211111,20200,10000,20000,15900,7600.0,8700.0
36,비트나인,11576.0,-10226.0,1.0,589.64,11000,1662.29,5.96,38.64,0.8,6,33,0.1818181818181818,kosdaq,20211110,11350,11000,15250,11400,8700.0,9700.0
37,디어유,13048.0,-2250.0,1.0,1598.15,26000,2001.11,37.46,100.0,0.79,16,60,0.2666666666666666,kosdaq,20211110,38500,26000,52000,66500,18000.0,24000.0
38,아이티아이즈,51314.0,3015.0,0.93,633.61,14300,1601.14,9.11,100.0,0.81,8,38,0.2105263157894736,kosdaq,20211111,12050,14300,28600,20050,12500.0,14300.0
39,지니너스,3794.0,-9152.0,1.0,162.5,20000,66.03,0.1,-10.0,0.77,2,36,0.0555555555555555,kosdaq,20211108,2975,20000,18000,13400,24700.0,32200.0
40,피코그램,24273.0,1957.0,1.0,1520.35,12500,1472.19,12.96,100.0,0.82,5,43,0.1162790697674418,kosdaq,20211103,43000,12500,25000,18600,11000.0,12500.0
41,엔켐,138888.0,501.0,1.0,1275.69,42000,1647.4,64.45,94.29,0.8,5,44,0.1136363636363636,kosdaq,20211101,54100,42000,81600,80000,30000.0,35000.0
42,리파인,54164.0,16067.0,1.0,5.95,21000,64.19,3.22,-10.0,0.78,-1,32,-0.03125,kosdaq,20211029,11200,21000,18900,14300,21000.0,24000.0
