,cor_name,sales,profit,shares_to_pub,sub_rate,cor_rate,obligation,score,sum,t_score,market_type,listed_date,current_price,offer_price,h_exp_offer_price,l_exp_offer_price,target,st_price,end_price,search_amt,Trend
0,에이치피에스피,61174,17658,1.0,1159.05,1511.36,42.54,3,28,0.107,0,20220715,52700,25000,23000,25000,43250,50000,100.0,0.097,0.67
1,영창케미칼,60760,2506,0.83,682.13,1616.27,5.92,12,45,0.267,0,20220714,14250,18600,15000,18600,16450,18400,-1.08,-0.001,1.0
2,넥스트칩,10383,-13496,1.0,1727.38,1623.41,11.58,4,56,0.071,0,20220701,12000,13000,9900,11600,14300,17150,31.92,-0.113,0.8
3,위니아에이드,418527,24895,1.0,111.26,955.0,1.39,0,59,0.0,0,20220623,9330,16200,14200,16200,11000,14600,-9.88,-0.11,1.0
4,레이저쎌,3879,-7665,1.0,1845.11,1442.95,12.43,2,54,0.037,0,20220624,12400,16000,12000,14000,17350,20600,28.75,-0.137,0.88
5,범한퓨얼셀,31900,3457,1.0,710.37,751.39,10.75,8,45,0.178,0,20220617,30200,40000,32200,40000,47950,41000,2.5,-0.058,1.0
6,비플라이소프트,24386,-3424,0.9,26.86,111.05,0.76,-4,48,-0.083,0,20220620,2140,10000,16500,19000,9050,10500,5.0,0.11,1.0
7,청담글로벌,70387,849,0.91,42.1,24.79,16.47,-1,39,-0.026,0,20220603,11300,6000,8400,9600,7640,6500,8.33,-0.043,1.0
8,가온칩스,17098,1852,1.0,2183.29,1847.12,14.7,1,39,0.026,0,20220520,26500,14000,11000,13000,27100,24150,72.5,-0.134,1.0
9,대명에너지,159386,8132,0.8,151.58,254.74,1.18,-5,35,-0.143,0,20220516,18550,15000,15000,18000,13950,15450,3.0,0.269,1.0
10,포바이포,13993,1354,0.89,3763.37,1846.32,55.52,14,51,0.275,0,20220428,21600,17000,11000,14000,44200,34000,100.0,-0.01,1.0
11,지투파워,29135,2162,0.83,2029.37,1729.63,11.16,3,50,0.06,0,20220401,47650,16400,13500,16400,35250,32800,100.0,0.091,0.65
12,세아메카닉스,82695,4254,0.66,2475.87,1812.83,6.73,2,33,0.061,0,20220324,7820,4400,3500,4000,7600,8800,100.0,0.02,0.63
13,공구우먼,32683,4346,1.0,7.53,56.9,2.65,0,31,0.0,0,20220323,11850,20000,26000,31000,20000,21600,8.0,-0.013,0.61
14,유일로보틱스,27952,2505,1.0,2535.3,1756.45,15.92,2,34,0.059,0,20220318,32350,10000,7600,9200,26000,20000,100.0,0.504,0.59
15,모아데이타,13785,2093,1.0,23.39,114.19,0.87,-8,32,-0.25,0,20220310,4080,20000,24000,28000,16050,18000,-10.0,-0.062,0.62
16,비씨엔씨,47343,2011,1.0,2686.22,1831.23,22.84,5,75,0.067,0,20220303,18300,13000,9000,11500,22600,26000,100.0,0.037,0.64
17,브이씨,35364,4513,1.0,46.41,190.59,19.93,2,52,0.038,0,20220224,11000,15000,15000,19500,15350,17400,16.0,-0.132,0.64
18,퓨런티어,15082,-2180,1.0,2683.0,1535.42,11.08,6,49,0.122,0,20220223,27600,15000,11400,13700,31200,30000,100.0,0.284,0.6
19,바이오에프디엔씨,8640,2461,1.0,4.74,74.01,11.8,-3,28,-0.107,0,20220221,23050,28000,23000,29000,22200,25200,-10.0,-0.149,0.67
20,인카금융서비스,301025,11288,0.68,25.29,13.69,4.19,6,34,0.176,0,20220216,7360,18000,23000,27000,14400,17250,-4.17,-0.172,0.75
21,나래나노텍,82805,2273,0.77,24.36,102.0,0.97,8,34,0.235,0,20220208,9470,17500,17500,20500,13900,15750,-10.0,-0.114,0.86
22,아셈스,34049,1052,1.0,2435.07,1618.26,7.71,8,37,0.216,0,20220207,15150,8000,7000,8000,13500,16000,100.0,-0.071,0.83
23,스코넥,4558,-8971,1.0,1751.25,1724.66,59.95,2,40,0.05,0,20220204,13700,13000,9000,12000,24450,26000,100.0,0.194,0.8
24,이지트로닉스,15349,3552,1.0,887.4,1343.51,2.94,-1,30,-0.033,0,20220204,15000,22000,19000,22000,25500,23450,6.59,0.609,0.75
25,케이옥션,24192,-2088,0.8,1408.33,1638.36,36.8,1,62,0.016,0,20220124,7350,20000,17000,20000,52000,40000,100.0,0.065,1.0
26,오토앤,49437,3444,1.0,2395.63,1713.0,8.34,3,41,0.073,0,20220120,13500,5300,4200,4800,11400,8800,66.04,-0.0,0.79
27,래몽래인,34650,3153,1.0,2054.63,1545.68,17.75,7,69,0.1009999999999999,0,20211230,19600,15000,11500,13000,24000,26000,73.33,-0.037,0.78
28,케이티비네트워크,66974,35765,1.0,327.26,50.19,6.94,1,7,0.143,0,20211216,3295,5800,5800,7200,5350,6030,3.97,-0.177,0.77
29,툴젠,713,-14882,1.0,164.13,29.54,0.1,4,58,0.069,0,20211210,70700,70000,100000,120000,91100,82300,17.57,0.301,0.76
30,마인즈랩,11292,-20386,1.0,89.9,197.55,19.74,-1,43,-0.023,0,20211123,18050,30000,26000,30000,38000,29650,-1.17,0.015,0.8
31,알비더블유,37277,3719,0.62,3706.79,1719.61,15.98,4,43,0.093,0,20211122,18700,21400,18700,21400,38950,42800,100.0,-0.104,0.79
32,바이옵트로,16115,2235,1.0,68.11,205.12,0.98,2,34,0.059,0,20211118,6900,7500,7500,8500,6290,7300,-2.67,-0.185,0.83
33,트윔,18260,2916,1.0,2266.84,1627.34,9.2,4,37,0.108,0,20211117,19100,22000,17800,20400,41100,44000,100.0,-0.017,0.82
34,지오엘리먼트,13180,2457,1.0,1537.44,1613.84,15.23,5,40,0.125,0,20211111,20200,10000,7600,8700,15900,20000,100.0,0.143,0.81
35,비트나인,11576,-10226,1.0,589.64,1662.29,5.96,6,33,0.182,0,20211110,11350,11000,8700,9700,11400,15250,38.64,-0.147,0.79
36,디어유,13048,-2250,1.0,1598.15,2001.11,37.46,16,60,0.267,0,20211110,38500,26000,18000,24000,66500,52000,100.0,0.06,0.77
37,아이티아이즈,51314,3015,0.93,633.61,1601.14,9.11,8,38,0.211,0,20211111,12050,14300,12500,14300,20050,28600,100.0,-0.076,0.8
38,지니너스,3794,-9152,1.0,162.5,66.03,0.1,2,36,0.0559999999999999,0,20211108,2975,20000,24700,32200,13400,18000,-10.0,0.106,0.83
39,피코그램,24273,1957,1.0,1520.35,1472.19,12.96,5,43,0.1159999999999999,0,20211103,43000,12500,11000,12500,18600,25000,100.0,0.105,0.8
40,엔켐,138888,501,1.0,1275.69,1647.4,64.45,5,44,0.114,0,20211101,54100,42000,30000,35000,80000,81600,94.29,-0.132,0.78
41,리파인,54164,16067,1.0,5.95,64.19,3.22,-1,32,-0.031,0,20211029,11200,21000,21000,24000,14300,18900,-10.0,-0.099,0.88
42,지앤비에스엔지니어링,42392,4554,1.0,1479.87,1134.34,4.37,4,36,0.111,0,20211029,12450,17400,14300,17400,19200,24000,37.93,-0.169,0.86
43,차백신연구소,78,-6240,1.0,42.16,206.23,1.93,-2,56,-0.036,0,20211022,7480,11000,11000,15000,13000,11700,6.36,-0.027,0.8
44,지아이텍,17189,4165,0.74,2968.35,2068.17,25.28,0,38,0.0,0,20211021,3430,14000,11500,13100,36400,28000,100.0,0.03,0.75
45,씨유테크,221698,10598,0.66,1408.69,1565.03,22.76,3,58,0.052,0,20211008,5490,6000,5100,5600,8400,12000,100.0,0.0,1.0
46,아스플로,44784,6964,1.0,2818.08,2142.7,12.1,2,21,0.095,0,20211007,8870,25000,19000,22000,28350,36000,44.0,0.333,0.8
47,실리콘투,99398,5716,0.94,1701.0,1437.63,8.37,-3,45,-0.067,0,20210929,2790,27200,23800,27200,29000,38500,41.54,0.034,0.83
48,프롬바이오,108045,-7813,0.81,48.24,85.71,1.45,-2,46,-0.043,0,20210928,9960,18000,21500,24500,19850,19250,6.94,-0.0,0.82
49,바이오플러스,24367,9703,1.0,1206.63,1220.2,7.8,1,49,0.02,0,20210927,32000,31500,28500,31500,32450,39500,25.4,0.076,0.81
50,에스앤디,56537,7359,1.0,4.2,173.11,0.01,3,38,0.079,0,20210929,19000,28000,30000,32000,21700,25200,-10.0,-0.095,0.83
51,와이엠텍,17037,3866,1.0,2939.57,1696.19,31.59,7,41,0.171,0,20210910,16350,28000,21000,25000,59000,56000,100.0,-0.027,0.79
52,에이비온,1994,-10476,1.0,30.66,139.36,4.3,-2,36,-0.0559999999999999,0,20210908,10600,17000,14500,17000,15700,16800,-1.18,0.327,0.83
53,브레인즈컴퍼니,14829,3734,0.66,1190.39,1428.8,8.92,3,48,0.062,0,20210819,9320,25000,20000,22500,65000,50000,100.0,-0.163,0.79
54,딥노이드,235,-8606,1.0,834.86,1179.07,7.29,6,53,0.113,0,20210817,9070,42000,31500,42000,50400,72000,71.43,0.334,0.83
55,플래티어,39376,2685,1.0,2498.8,1631.0,18.29,4,59,0.068,0,20210812,13450,11000,8500,10000,28600,22000,100.0,-0.048,0.78
56,엠로,40302,3389,1.0,250.0,685.6,6.97,2,51,0.039,0,20210813,16550,22600,20100,22600,28300,32700,44.69,-0.018,0.8
57,에이치케이이노엔,515289,67061,0.57,388.9,1871.36,13.49,1,47,0.021,0,20210809,43500,59000,50000,59000,68500,68100,15.42,-0.201,0.83
58,에브리봇,49165,-902,0.75,159.42,576.74,0.67,2,32,0.062,0,20210728,33450,36700,32600,36700,30300,33050,-9.95,-0.008,1.0
59,맥스트,1983,-8921,1.0,6762.75,1587.01,39.13,6,44,0.136,0,20210727,19200,15000,11000,13000,39000,30000,100.0,0.272,1.0
60,오비고,10229,-5332,1.0,1485.15,1123.74,7.68,2,28,0.071,0,20210713,11850,14300,12400,14300,20700,19200,34.27,0.168,0.69
61,아모센스,62028,-1196,0.8,26.55,116.79,2.57,-1,31,-0.032,0,20210625,15650,12400,12400,15200,15900,12250,-1.21,0.126,0.73
62,이노뎁,60760,1653,1.0,692.12,1573.93,6.05,-2,32,-0.062,0,20210618,15250,18000,14000,18000,18050,22200,23.33,-0.089,0.71
63,라온테크,12632,-1432,1.0,779.1,1526.2,8.9,5,29,0.172,0,20210617,15650,18000,12800,15800,20500,20250,12.5,0.163,0.69
64,엘비루셈,209770,17105,0.66,824.51,1419.23,4.48,4,19,0.211,0,20210611,7940,14000,12000,14000,15200,18000,28.57,-0.142,0.67
65,에이디엠코리아,10206,653,1.0,2345.4,1515.98,12.35,14,31,0.452,0,20210603,3100,3800,2900,3300,9880,7600,100.0,-0.102,0.64
