,기업명,제목,LABEL
0,세아메카닉스,"“세아메카닉스, 포트폴리오 확대 및 고객다변화로 외형성장 기대”",
0,영창케미칼,"IPO 시장 찬바람에도… 영창케미칼, 공모가 상단 1만8600원 확정",
1,영창케미칼,"[시그널] 영창케미칼, 수요예측 경쟁률 1616 대 1 '흥행'",
2,영창케미칼,"반도체 종목 '공모주 흥행' 되살릴까, 다음주 영창케미칼 HPSP 기대",
3,영창케미칼,"영창케미칼, 공모가 1만8600원 확정…1616대 1 경쟁률 기록",
4,영창케미칼,7월 공모주 뭘 담을까…반도체 ‘소부장’ 온다,
5,영창케미칼,"[위클리 마켓] 루닛·성일하이텍, IPO 수요예측 돌입",
6,영창케미칼,7월1일 정치경제뉴스 브리핑,
7,영창케미칼,[7월2일자] 비즈니스포스트 아침의 주요기사,
0,세아메카닉스,[3월 공모주 일정] 코람코더원리츠·유일로보틱스·공구우먼·세아메카닉스 청...,
0,지투파워,"지투파워, 청약 경쟁률 2029.37대 1 기록",
1,지투파워,지투파워 IPO 흥행…청약 경쟁률 2029.37대 1,
2,지투파워,"지투파워, 청약경쟁률 2029대 1…내달 1일 코스닥 상장",
3,지투파워,[종합] 지투파워 공모주 청약 일정은? '공모가·수요예측 결과·상장일' 알아...,
4,지투파워,"지투파워, 청약 경쟁률 2029.37대 1 기록…내달 1일 코스닥 상장",
5,지투파워,"지투파워, 청약 경쟁률 2029.37대 1···내달 1일 코스닥 상장",
6,지투파워,"지투파워, 청약 경쟁률 2029대 1 기록…내달 1일 코스닥 상장",
7,지투파워,"[증권소식] 박용만 3부자, 두산 지분 전량 처분/사업보고서 제출 늦어진 23개...",
8,지투파워,"[더벨][IPO 모니터]지투파워, 공모가 최상단…98.3%가 밴드 이상 입찰",
9,지투파워,‘유니콘 1호’도 상장 철회...증시 침체에 IPO 꽁꽁,
0,영창케미칼,"7월 IPO 시장, 청약 열기 뜨거운 소부장·인공지능 ‘입성’ [IPO 프리보드]",
1,영창케미칼,바이오·플랫폼 떠난 IPO시장··· '소부장' 기업이 채운다,
0,영창케미칼,"영창케미칼, 반도체 업종 중 성장 기대주 - FS리서치",
1,영창케미칼,"“영창케미칼, EUV Rinse 포토레지스트 의 지속 성장 전망”",
2,영창케미칼,[시그널] 반도체 장비부터 로봇 제어까지…'소부장' 기업 IPO 러쉬,
0,영창케미칼,"영창케미칼·HPSP, 일반 청약 받는다",
1,영창케미칼,"이번주 눈여겨볼 공모주는? 루닛 수요예측, 영창케미칼·HPSP 청약",
2,영창케미칼,"영창케미칼, EUV 린스 국산화로 ‘독점’ 독일 머크에 도전장",
3,영창케미칼,먹구름 자욱한 증시…삼성전자 '6만전자' 멀어지나,
4,영창케미칼,[증시캘린더]이번주(7월1주) 코난테크놀로지 상장·영창케미칼 공모,
5,영창케미칼,[이번 주 IPO] 7월 첫째 주 수요예측·청약 일정,
6,영창케미칼,"'소재·부품·장비' 공모, 7월에도 흥행 이어가나…IPO 10건 출격 준비",
7,영창케미칼,[공시줍줍]공모주달력 7월 4일~8일,
0,넥스트칩,"[시그널] 넥스트칩, 청약 경쟁률 1700대 1…'소부장 공모주' 흥행 지속",
1,넥스트칩,"넥스트칩, IPO 흥행…청약 경쟁률 3455대 1",
2,넥스트칩,"[IPO 기업분석]자율주행차 수혜주 넥스트칩, 일반청약도 흥행 성공할까",
3,넥스트칩,"넥스트칩, 공모 청약 경쟁률 1728대 1…증거금 7.3조 몰려",
4,넥스트칩,"넥스트칩 공모주 일반청약 경쟁률 1700대 1도 넘어, 증거금 7조 몰려",
5,넥스트칩,"[마켓인]넥스트칩, 청약 경쟁률 3455대 1…증거금 7조 몰려",
