,cor_name,cor_rate,obligation,market_type,listed_date,offer_price,sicho_p,profit_percent,sales,profit,shares_to_pub,sub_rate,pre_demand_day,subs_day,l_exp_offer_price,h_exp_offer_price,score
0,대성하이텍,1934.89,4.57,0,20220822,9000,-,,112579,7412.0,0.78,1136.4,2022.8.4,2022.8.10,7400,9000,0.54
1,쏘카,56.07,0.17,1,20220822,28000,-,,261824,-67745.0,1.0,14.4,2022.8.4,2022.8.11,34000,45000,0.68
2,에이치와이티씨,1480.78,6.08,0,20220809,15000,14700,-2.0,35745,7479.0,1.0,432.58,2022.7.21,2022.7.29,13000,15000,0.35
3,새빗켐,1670.9,37.7,0,20220804,35000,70000,100.0,33389,4423.0,0.84,1724.96,2022.7.20,2022.7.27,25000,30000,0.42
4,수산인더스트리,130.37,18.94,1,20220801,35000,33000,-5.71,294111,53318.0,0.75,3.4,2022.7.14,2022.7.21,35000,43100,0.45
5,아이씨에이치,57.28,12.47,0,20220729,34000,30600,-10.0,24167,2428.0,0.88,2.51,2022.7.13,2022.7.20,34000,44000,0.46
6,성일하이텍,2269.68,38.66,0,20220728,50000,99900,99.8,65939,-2998.0,1.0,1207.1,2022.7.11,2022.7.19,40700,47500,0.38
7,루닛,7.1,1.65,0,20220721,30000,30800,2.67,1430,-83739.0,1.0,8.99,2022.7.7,2022.7.13,44000,49000,0.36
8,에이치피에스피,1511.36,42.54,0,20220715,25000,50000,100.0,61174,17658.0,1.0,1159.05,2022.6.29,2022.7.7,23000,25000,0.4
9,영창케미칼,1616.27,5.92,0,20220714,18600,18400,-1.08,60760,2506.0,0.83,682.13,2022.6.27,2022.7.5,15000,18600,0.47
10,코난테크놀로지,1482.6,7.07,0,20220707,25000,35300,41.2,14001,1488.0,1.0,1386.86,2022.6.21,2022.6.28,21000,25000,0.22
11,넥스트칩,1623.41,11.58,0,20220701,13000,17150,31.92,10383,-13496.0,1.0,1727.38,2022.6.16,2022.6.22,9900,11600,0.58
12,위니아에이드,955.0,1.39,0,20220623,16200,14600,-9.88,418527,24895.0,1.0,111.26,2022.6.9,2022.6.15,14200,16200,0.42
13,레이저쎌,1442.95,12.43,0,20220624,16000,20600,28.75,3879,-7665.0,1.0,1845.11,2022.6.9,2022.6.15,12000,14000,0.55
14,범한퓨얼셀,751.39,10.75,0,20220617,40000,41000,2.5,31900,3457.0,1.0,710.37,2022.6.2,2022.6.9,32200,40000,0.55
15,비플라이소프트,111.05,0.76,0,20220620,10000,10500,5.0,24386,-3424.0,0.9,26.86,2022.6.2,2022.6.10,16500,19000,0.66
16,청담글로벌,24.79,16.47,0,20220603,6000,6500,8.33,70387,849.0,0.92,42.1,2022.5.17,2022.5.25,8400,9600,0.27
17,가온칩스,1847.12,14.7,0,20220520,14000,24150,72.5,17098,1852.0,1.0,2183.29,2022.5.2,2022.5.12,11000,13000,0.34
18,대명에너지,254.74,1.18,0,20220516,15000,15450,3.0,159386,8132.0,0.8,151.58,2022.4.27,2022.5.4,15000,18000,0.45
19,포바이포,1846.32,55.52,0,20220428,17000,34000,100.0,13993,1354.0,0.9,3763.37,2022.4.14,2022.4.20,11000,14000,0.36
20,지투파워,1729.63,11.16,0,20220401,16400,32800,100.0,29135,2162.0,0.83,2029.37,2022.3.17,2022.3.23,13500,16400,0.52
21,세아메카닉스,1812.83,6.73,0,20220324,4400,8800,100.0,82695,4254.0,0.67,2475.87,2022.3.10,2022.3.16,3500,4000,0.39
22,공구우먼,56.9,2.65,0,20220323,20000,21600,8.0,32683,4346.0,1.0,7.53,2022.3.7,2022.3.15,26000,31000,0.5
23,유일로보틱스,1756.45,15.92,0,20220318,10000,20000,100.0,27952,2505.0,1.0,2535.3,2022.2.24,2022.3.8,7600,9200,0.78
24,모아데이타,114.19,0.87,0,20220310,20000,18000,-10.0,13785,2093.0,1.0,23.39,2022.2.21,2022.2.28,24000,28000,0.76
25,비씨엔씨,1831.23,22.84,0,20220303,13000,26000,100.0,47343,2011.0,1.0,2686.22,2022.2.16,2022.2.22,9000,11500,0.53
26,브이씨,190.59,19.93,0,20220224,15000,17400,16.0,35364,4513.0,1.0,46.41,2022.2.10,2022.2.16,15000,19500,0.52
27,풍원정밀,1556.53,11.0,0,20220228,15200,20200,32.89,37117,592.0,1.0,2235.98,2022.2.10,2022.2.18,13200,15200,0.55
28,퓨런티어,1535.42,11.08,0,20220223,15000,30000,100.0,15082,-2180.0,1.0,2683.0,2022.2.7,2022.2.15,11400,13700,0.45
29,바이오에프디엔씨,74.01,11.8,0,20220221,28000,25200,-10.0,8640,2461.0,1.0,4.74,2022.1.24,2022.2.10,23000,29000,0.4
30,인카금융서비스,13.69,4.19,0,20220216,18000,17250,-4.17,301025,11288.0,0.68,25.29,2022.1.24,2022.2.8,23000,27000,0.3
31,나래나노텍,102.0,0.97,0,20220208,17500,15750,-10.0,82805,2273.0,0.77,24.36,2022.1.17,2022.1.25,17500,20500,0.47
32,아셈스,1618.26,7.71,0,20220207,8000,16000,100.0,34049,1052.0,1.0,2435.07,2022.1.17,2022.1.25,7000,8000,0.41
33,스코넥,1724.66,59.95,0,20220204,13000,26000,100.0,4558,-8971.0,1.0,1751.25,2022.1.13,2022.1.21,9000,12000,0.36
34,이지트로닉스,1343.51,2.94,0,20220204,22000,23450,6.59,15349,3552.0,1.0,887.4,2022.1.13,2022.1.21,19000,22000,0.43
35,LG에너지솔루션,2023.37,77.38,1,20220127,300000,597000,99.0,1461068,-451771.0,0.8,69.34,2022.1.11,2022.1.19,257000,300000,0.41
