,cor_name,cor_rate,obligation,market_type,listed_date,offer_price,sicho_p,profit_percent,sales,profit,shares_to_pub,sub_rate,pre_demand_day,subs_day,l_exp_offer_price,h_exp_offer_price,avail_for_circul,nasdaq_score,search_amt,Trend,score,market_cap
0,대성하이텍,1934.89,4.57,0,20220822,9000,-,,112579,7412,0.78,1136.4,20220804,20220810,7400,9000,33.45,0.008,0.024353056,0.6,0.537,1.20E+11
1,쏘카,56.07,0.17,1,20220822,28000,-,,261824,-67745,1,14.4,20220804,20220811,34000,45000,14.5,0.008,0.024353056,0.6,0.68,9.16E+11
2,에이치와이티씨,1480.78,6.08,0,20220809,15000,14700,-2,35745,7479,1,432.58,20220721,20220729,13000,15000,37.97,-0.001,0.024353056,0.6,0.35,1.51E+11
3,새빗켐,1670.9,37.7,0,20220804,35000,70000,100,33389,4423,0.84,1724.96,20220720,20220727,25000,30000,27.88,0.026,0.024353056,0.6,0.424,1.67E+11
4,수산인더스트리,130.37,18.94,1,20220801,35000,33000,-5.71,294111,53318,0.75,3.4,20220714,20220721,35000,43100,27.84,0.019,0.024353056,0.6,0.452,5.00E+11
5,아이씨에이치,57.28,12.47,0,20220729,34000,30600,-10,24167,2428,0.88,2.51,20220713,20220720,34000,44000,33.73,0.011,0.024353056,0.6,0.458,1.93E+11
6,성일하이텍,2269.68,38.66,0,20220728,50000,99900,99.8,65939,-2998,1,1207.1,20220711,20220719,40700,47500,29.79,0.041,0.024353056,0.6,0.385,5.95E+11
7,루닛,7.1,1.65,0,20220721,30000,30800,2.67,1430,-83739,1,8.99,20220707,20220713,44000,49000,49.07,0.016,0.024353056,0.6,0.357,3.15E+11
8,에이치피에스피,1511.36,42.54,0,20220715,25000,50000,100,61174,17658,1,1159.05,20220629,20220707,23000,25000,12.13,0,0.097,0.6,0.396,4.94E+11
9,영창케미칼,1616.27,5.92,0,20220714,18600,18400,-1.08,60760,2506,0.83,682.13,20220627,20220705,15000,18600,35.07,-0.002,-0.001,0.6,0.472,1.88E+11
10,코난테크놀로지,1482.6,7.07,0,20220707,25000,35300,41.2,14001,1488,1,1386.86,20220621,20220628,21000,25000,22.64,0.003,0.024353056,0.6,0.215,1.42E+11
11,넥스트칩,1623.41,11.58,0,20220701,13000,17150,31.92,10383,-13496,1,1727.38,20220616,20220622,9900,11600,34.47,-0.013,-0.113,0.6,0.576,2.26E+11
12,위니아에이드,955,1.39,0,20220623,16200,14600,-9.88,418527,24895,1,111.26,20220609,20220615,14200,16200,32.94,-0.001,-0.11,0.3,0.422,2.50E+11
13,레이저쎌,1442.95,12.43,0,20220624,16000,20600,28.75,3879,-7665,1,1845.11,20220609,20220615,12000,14000,42.42,0.016,-0.137,0.3,0.545,1.35E+11
14,범한퓨얼셀,751.39,10.75,0,20220617,40000,41000,2.5,31900,3457,1,710.37,20220602,20220609,32200,40000,34.01,-0.041,-0.058,0.3,0.554,3.51E+11
