,cor_name,cor_rate,obligation,market_type,listed_date,offer_price,sicho_p,profit_percent,sales,profit,shares_to_pub,sub_rate,pre_demand_day,subs_day,l_exp_offer_price,h_exp_offer_price,score,nasdaq_score,range,Quater_per
0,에이치와이티씨,1480.78,6.08,0,20220809,15000,14700,-2,35745,7479,1,432.58,2022-07-21,2022-07-29,13000,15000,0.35,-0.001,1037,0.6
1,새빗켐,1670.9,37.7,0,20220804,35000,70000,100,33389,4423,0.84,1724.96,2022-07-20,2022-07-27,25000,30000,0.42,0.026,1036,0.6
2,수산인더스트리,130.37,18.94,1,20220801,35000,33000,-5.71,294111,53318,0.75,3.4,2022-07-14,2022-07-21,35000,43100,0.45,0.019,1035,0.6
3,에이프릴바이오,14.43,10.66,0,20220728,16000,19500,21.88,153762.78,-10220,1,4.76,2022-07-13,2022-07-20,20000,23000,0.62,0.041,1032,0.6
4,아이씨에이치,57.28,12.47,0,20220729,34000,30600,-10,24167,2428,0.88,2.51,2022-07-13,2022-07-20,34000,44000,0.46,0.011,1034,0.6
5,성일하이텍,2269.68,38.66,0,20220728,50000,99900,99.8,65939,-2998,1,1207.1,2022-07-11,2022-07-19,40700,47500,0.37,0.041,1033,0.6
6,루닛,7.1,1.65,0,20220721,30000,30800,2.67,1430,-83739,1,8.99,2022-07-07,2022-07-13,44000,49000,0.31,0.016,1031,0.6
7,에이치피에스피,1511.36,42.54,0,20220715,25000,50000,100,61174,17658,1,1159.05,2022-06-29,2022-07-07,23000,25000,0.31,0,1030,0.6
8,영창케미칼,1616.27,5.92,0,20220714,18600,18400,-1.08,60760,2506,0.83,682.13,2022-06-27,2022-07-05,15000,18600,0.51,-0.002,1029,0.6
9,넥스트칩,1623.41,11.58,0,20220701,13000,17150,31.92,10383,-13496,1,1727.38,2022-06-16,2022-06-22,9900,11600,0.59,-0.013,1027,0.6
10,위니아에이드,955,1.39,0,20220623,16200,14600,-9.88,418527,24895,1,111.26,2022-06-09,2022-06-15,14200,16200,0.36,-0.001,1024,0.3
11,레이저쎌,1442.95,12.43,0,20220624,16000,20600,28.75,3879,-7665,1,1845.11,2022-06-09,2022-06-15,12000,14000,0.55,0.016,1025,0.3
12,보로노이,28.35,9.48,0,20220624,40000,36000,-10,6180,-26491,1,5.57,2022-06-08,2022-06-15,40000,46000,0.57,0.016,1026,0.3
13,범한퓨얼셀,751.39,10.75,0,20220617,40000,41000,2.5,31900,3457,1,710.37,2022-06-02,2022-06-09,32200,40000,0.54,-0.041,1022,0.3
14,비플라이소프트,111.05,0.76,0,20220620,10000,10500,5,24386,-3424,0.9,26.86,2022-06-02,2022-06-10,16500,19000,0.58,0.014,1023,0.3
15,청담글로벌,24.79,16.47,0,20220603,6000,6500,8.33,70387,849,0.92,42.1,2022-05-17,2022-05-25,8400,9600,0.27,0.027,1021,0.3
16,가온칩스,1847.12,14.7,0,20220520,14000,24150,72.5,17098,1852,1,2183.29,2022-05-02,2022-05-12,11000,13000,0.32,-0.003,1020,0.3
17,대명에너지,254.74,1.18,0,20220516,15000,15450,3,159386,8132,0.8,151.58,2022-04-27,2022-05-04,15000,18000,0.39,0.038,1019,0.3
18,포바이포,1846.32,55.52,0,20220428,17000,34000,100,13993,1354,0.9,3763.37,2022-04-14,2022-04-20,11000,14000,0.4,0,1018,0.3
19,지투파워,1729.63,11.16,0,20220401,16400,32800,100,29135,2162,0.83,2029.37,2022-03-17,2022-03-23,13500,16400,0.49,-0.015,1017,0.3
20,세아메카닉스,1812.83,6.73,0,20220324,4400,8800,100,82695,4254,0.67,2475.87,2022-03-10,2022-03-16,3500,4000,0.39,-0.013,1016,0.583
21,공구우먼,56.9,2.65,0,20220323,20000,21600,8,32683,4346,1,7.53,2022-03-07,2022-03-15,26000,31000,0.45,0.02,1015,0.583
22,유일로보틱스,1756.45,15.92,0,20220318,10000,20000,100,27952,2505,1,2535.3,2022-02-24,2022-03-08,7600,9200,0.73,0.013,1014,0.583
23,모아데이타,114.19,0.87,0,20220310,20000,18000,-10,13785,2093,1,23.39,2022-02-21,2022-02-28,24000,28000,0.71,0.036,1013,0.583
