Unnamed: 0,date,기업검색량,기업명
0,,,
0,2022-07-29,100.0,에이치와이티씨
1,2022-07-30,11.6439,에이치와이티씨
2,2022-07-31,7.62675,에이치와이티씨
3,2022-08-01,24.97618,에이치와이티씨
4,2022-08-02,17.31766,에이치와이티씨
5,2022-08-03,11.29988,에이치와이티씨
6,2022-08-04,15.99449,에이치와이티씨
0,2022-07-29,6.97595,새빗켐
1,2022-07-30,2.44217,새빗켐
2,2022-07-31,2.33325,새빗켐
3,2022-08-01,7.59713,새빗켐
4,2022-08-02,6.989560000000001,새빗켐
5,2022-08-03,12.63125,새빗켐
6,2022-08-04,100.0,새빗켐
0,2022-07-29,9.33964,수산인더스트리
1,2022-07-30,4.51159,수산인더스트리
2,2022-07-31,7.87778,수산인더스트리
3,2022-08-01,100.0,수산인더스트리
4,2022-08-02,35.30021,수산인더스트리
5,2022-08-03,21.617,수산인더스트리
6,2022-08-04,18.1836,수산인더스트리
0,2022-07-29,100.0,에이프릴바이오
1,2022-07-30,19.61106,에이프릴바이오
2,2022-07-31,14.48017,에이프릴바이오
3,2022-08-01,45.28047,에이프릴바이오
4,2022-08-02,41.5258,에이프릴바이오
5,2022-08-03,71.66790999999998,에이프릴바이오
6,2022-08-04,40.02991,에이프릴바이오
0,2022-07-29,100.0,아이씨에이치
1,2022-07-30,10.56693,아이씨에이치
2,2022-07-31,8.25136,아이씨에이치
3,2022-08-01,31.32513,아이씨에이치
4,2022-08-02,30.97677,아이씨에이치
5,2022-08-03,23.98907,아이씨에이치
6,2022-08-04,24.09153,아이씨에이치
0,2022-07-29,100.0,성일하이텍
1,2022-07-30,16.08397,성일하이텍
2,2022-07-31,11.22536,성일하이텍
3,2022-08-01,52.0235,성일하이텍
4,2022-08-02,40.03305,성일하이텍
5,2022-08-03,35.97502,성일하이텍
6,2022-08-04,39.16146,성일하이텍
0,2022-07-29,37.31926,루닛
1,2022-07-30,8.33608,루닛
2,2022-07-31,6.81486,루닛
3,2022-08-01,36.74939000000001,루닛
4,2022-08-02,100.0,루닛
5,2022-08-03,43.85626,루닛
6,2022-08-04,32.265809999999995,루닛
0,2022-07-29,100.0,에이치피에스피
1,2022-07-30,29.66841,에이치피에스피
2,2022-07-31,28.18499000000001,에이치피에스피
3,2022-08-01,74.95636,에이치피에스피
4,2022-08-02,65.00872,에이치피에스피
5,2022-08-03,54.27574,에이치피에스피
6,2022-08-04,49.82547,에이치피에스피
0,2022-07-29,100.0,영창케미칼
1,2022-07-30,15.37132,영창케미칼
2,2022-07-31,13.514679999999998,영창케미칼
3,2022-08-01,77.09411999999998,영창케미칼
4,2022-08-02,63.88169,영창케미칼
5,2022-08-03,66.08376,영창케미칼
6,2022-08-04,75.32383,영창케미칼
0,2022-07-29,94.51822,넥스트칩
1,2022-07-30,18.31025,넥스트칩
2,2022-07-31,16.275779999999994,넥스트칩
3,2022-08-01,89.82763,넥스트칩
4,2022-08-02,88.78214,넥스트칩
5,2022-08-03,84.26109,넥스트칩
6,2022-08-04,100.0,넥스트칩
0,2022-07-29,100.0,위니아에이드
1,2022-07-30,27.28263,위니아에이드
2,2022-07-31,21.39547,위니아에이드
3,2022-08-01,87.87135,위니아에이드
4,2022-08-02,81.73889,위니아에이드
5,2022-08-03,73.75305999999998,위니아에이드
6,2022-08-04,79.7765,위니아에이드
0,2022-07-29,100.0,레이저쎌
1,2022-07-30,24.54984,레이저쎌
2,2022-07-31,21.25603,레이저쎌
